protein_id	WT_t1	WT_t2	WT_t3	WT_t4	HetEd_t1	HetEd_t2	HetEd_t3	HetEd_t4	HomEd_t1	HomEd_t2	HomEd_t3	HomEd_t4	HetRev_t1	HetRev_t2	HetRev_t3	HetRev_t4	HomRev_t1	HomRev_t2	HomRev_t3	HomRev_t4
PROT_0069		21.5689	21.9955	21.3905	21.9996	21.3725	22.1255	21.6643	21.7555	21.6529	22.0072	21.9439	22.0259	22.1265	21.8759		22.2625	21.428	21.9051	21.4015
PROT_0070	22.9224	22.859	22.8647	23.0936	23.0571	22.8629	23.1073	23.4342	23.0372	22.7269	22.6149	23.099	22.6155		22.8467	22.9774	22.9862	23.0802	23.2458	22.9905
PROT_0071	21.5235	21.241	21.4471	21.1725	21.6099	21.4823	21.3542	20.9621	21.2382	21.2766	21.9116	21.0875	21.0108	21.2356		21.1384	20.9541	21.2378	21.197	
PROT_0072	19.3667		18.9749	19.468	18.4939	18.5538			19.2044		19.8044	18.8051	18.7549		19.5028	18.4098	18.6597		18.9819	19.1875
PROT_0073	23.8718	23.9695	23.449	23.8411	23.945	23.8543	24.118	24.2577	23.5992	23.5404	24.0916	23.8517	23.7692	23.428	24.045	23.5777	24.4601	24.0173	24.3065	24.1925
PROT_0074	22.1217	22.5927	22.3365	22.283	21.917	21.9424	22.0935	22.1708	22.247	21.8949	22.435	22.1411	22.1999	21.977	22.2806	22.2801	21.9132	21.8461	22.422	22.2769
PROT_0075	23.9407	23.4924	24.224	23.9944	24.1109	23.935	24.0906	23.7262	23.8712	23.5698	23.858	23.6929	24.0627	24.1771		23.6683	25.0588	24.6689		24.8721
PROT_0076		19.898	19.8498	19.5894		19.1178			19.7231		19.4255	19.9708		20.0122	19.9782	20.1885	19.4232		19.2915	20.5028
PROT_0077	22.8901	22.6801	22.8063	22.6272	23.0923	23.0892	22.9852	22.9468	22.9186	22.4141	22.8319	22.4009	23.1992	22.9963	23.2495	23.3277	22.8927	23.1522	23.1109	22.5713
PROT_0078	23.3767	23.4207	23.0376	23.7056	23.3638	23.8608	23.2654	23.9684	23.4422	23.7085	23.6508	23.9087	23.6387	23.7888	23.7028	23.6744	23.663	23.7964	23.9267	24.3524
PROT_0079			16.6452																	
PROT_0080	25.0068	24.7002	25.1409	25.0773	24.9606	24.8722	25.0686	24.9458	24.5824	24.8789	24.9111	25.0676	25.0866	24.8277	25.1391	24.8057	25.1587	24.9751	25.1207	25.178
PROT_0081	22.6971	22.7953	23.0982	22.8216	22.7515	22.7666	23.1167	22.6258	22.7994	22.8353	22.9428	23.129	22.9602	22.7711	23.1005	23.2496	23.2049	22.8595	22.8637	22.8717
PROT_0082	22.7042	22.6328	22.9904	22.7378	22.9757	22.276	22.635	23.3013	22.9109	22.6327	22.974	23.4771	22.5773	22.9764	22.9212	23.0437	22.8826	22.8577	22.6895	22.6517
PROT_0083	22.0511	22.2867	22.3896	21.8525	22.2294	22.0533	22.042	21.632	22.3001	21.8773	22.3601	21.9102	22.2778	21.936	21.9075	21.8027	22.0371	21.7432	22.3546	22.0838
PROT_0084	21.3936	21.636	21.411	21.4202	21.6865	21.8417	21.8554	21.9914	21.1988	21.3739	21.5433	21.7411	21.3749	21.6811	21.5966	21.8235	21.1887	21.6767	21.3487	21.4612
PROT_0085	24.1461	23.5262	23.7898	23.9187	23.9169	23.8398	23.6981	23.6775	24.0873	23.5358	23.6757	24.1422	23.7939	23.8347	23.7835	23.5495	23.8617	23.5143	23.882	23.826
PROT_0086	19.8717		18.7926		18.9411		18.6252		19.3981	18.7703		19.4186	18.5631		18.7064	18.609		19.6469		18.5018
PROT_0087	23.7826	23.3938	23.6004	23.5974	24.0622	23.978	23.6728	24.0774	23.8414	23.4909		23.8595	23.5932	23.7806	23.4569	23.8364	23.6187	23.3764	23.883	23.8769
PROT_0088	23.5471	23.9032	23.4738	23.5854	23.4001	23.5628	23.5569	23.2931	23.3404	23.5826	23.19	23.3584	23.4561	23.2929	23.3938	23.1954	23.4882	23.5699	23.264	23.2348
PROT_0089	22.7338	22.7319	23.0624	22.452	23.0746	23.0443	23.0379	22.9944	23.1707	23.2602	23.2364	23.0068	23.0676	23.0897	22.6265	22.8603	22.7855	22.7947	23.0982	23.0294
PROT_0090	23.945	23.8702	24.1258	23.6381	23.8399	23.7889	24.1859	24.0867	24.4302	23.9264	24.0159	24.3895	23.4735	24.1738	24.0739	23.8327	24.0726	23.683	23.9853	24.1426
PROT_0091	26.3657	25.9849	26.5527	26.2632		26.21	26.4331	26.3541	26.532		26.0682	26.2876	26.3544	26.3929	26.6876	26.0056	26.6454	26.196	26.6294	26.2122
PROT_0092	23.2642	23.3055	23.5149	23.1414	23.3131	23.4911	23.0334	23.7402	23.3231	23.2605	23.5661	23.3959	23.4875	23.1671	22.927	23.55	23.3859	23.7719	23.2104	23.6606
PROT_0093		19.6654			20.0208		19.6793		19.9881				19.3563	19.8054	19.9576	19.8272		19.7061	19.5583	19.5494
PROT_0094	20.2608	20.4885	19.8212	20.5841	20.555	20.3202	20.3848		20.3392	19.9439	20.677	20.252	20.7684	20.5963	20.558	20.379	20.3762	20.5089	20.9261	20.167
PROT_0095		20.3029	20.5278	20.0771	20.8197			20.7476		20.8622	20.1756	20.6627	20.374	20.4629	21.1908	20.8234	21.2569	20.9371	20.6639	20.2773
PROT_0096	20.1258	19.5909		19.634	19.704		19.6715			19.8197		19.4184	19.8775				19.7576	19.6846	20.1346	19.9714
PROT_0097	19.9471	20.2425	20.1772						20.1292	19.5994		19.3578		19.8566	19.9387	19.5496	20.2589	19.8666	19.7353	20.3392
PROT_0098	19.6501	19.7211	19.9924		19.6865	19.6909	19.328	20.8201	19.5559		19.3035			19.8915	19.5955	19.9453	19.4165		19.3864	19.6923
PROT_0099	25.5918	26.0037	25.6497	26.0378	25.4878	25.8015	25.494	26.0219	25.4039	25.9028	25.4532	25.9278	25.3479	26.2948	25.4879	25.8203	25.7295	25.7692	25.3916	25.6776
PROT_0100	26.0413	25.8692	25.6463	25.7582	26.0687	26.2221	25.805	26.0334	25.1676	25.4732	25.1008	25.436	26.0881	26.2596	25.6787	26.1412	26.0512	26.2537	26.0666	25.9476
PROT_0101	20.8688	20.7445	21.162	21.0769	20.1227	20.1991	20.8612	20.2972	20.1209	20.5441	20.0902		21.2213	21.1218	21.0208	20.7232	20.9537	20.5693	20.5725	
PROT_0102	23.9208	23.7654	23.4281	24.015	23.6909	23.5916	23.8535	24.1922	23.3225	23.6788	23.7358	23.785	23.5197	24.3121	23.5566	23.9404	23.5919	23.6565	23.4781	23.777
PROT_0103	23.2893	23.0732	23.3818	23.0398	24.46	23.8744	24.3803	24.3525	23.2052	23.1948	23.6293	22.8457	23.0603	22.8612	23.4583	22.8887	23.3177	23.2791	23.1443	23.3075
PROT_0104	26.933	26.8647	27.1088	26.8866	27.2998	26.9662	27.3472	27.0356	26.9714		26.9091	26.9079	27.1307	27.1128	27.2767	26.8749	27.005	26.8091	27.1865	26.8953
PROT_0105			19.1222	19.0578	18.6465					18.7974		18.6672	19.2781			19.1045			18.5148	18.69
PROT_0106	22.8123	22.9467	22.8555	23.1489	22.7195	22.9749	22.9796	22.9115	22.5305	23.1174	22.7686	23.0037	22.9123	22.7695	22.1812	22.9158	22.8369	23.2485	23.1508	22.9216
PROT_0107	20.5098	21.0591	20.9374	21.0815	21.0274	21.6297	21.1097		20.8191	21.0004	20.8102		20.9302	21.03	20.9482	21.1113	20.3891	21.0556	20.8481	20.8492
PROT_0108	22.8578	22.5625	22.2752	22.6811	22.6907	22.5597	22.4785	22.486	22.0537	22.0814	22.0343	21.9949	22.4158	22.732	22.8265	22.1827	22.6848	23.109	22.4256	22.7987
PROT_0109	22.1083	22.4603	22.1579	22.482	22.0279	21.8536	22.123	22.1211	22.0519	22.313	22.1773	22.6541	22.0251	22.3144	21.5831	22.6181	22.1379	22.8422	22.2726	22.3091
PROT_0110	20.5519	20.0443	20.5713	19.7662				20.8159		19.8902	20.4031	20.2473	20.0687	20.8169	20.4022	20.1722		20.1183		20.5947
PROT_0111	24.774	24.6878	24.716	24.7481	24.7376	24.5674	24.4409	24.5598	24.4269	24.5083	24.1618	24.3384	24.1131	24.6606	24.6534	24.8304	24.6114	24.6889	24.7626	24.7483
PROT_0112	24.9462	24.8047	25.0892	24.9973	24.9686	24.6134		24.6834		24.8669	25.0541	24.6885	24.825	24.8518		25.0263	25.1297	24.9428	25.0579	
PROT_0113	18.4415					18.106	17.7589						18.9326	19.5466	18.8706		18.8794	19.2603	18.1276	
PROT_0114	25.5122	25.8074	25.8648	25.9197	25.7782	25.9007	25.5856	25.8327	25.6456	26.0009	25.6004	26.0788	25.9475	26.1072	25.6521	26.0088	25.8525	26.2002	25.7068	26.041
PROT_0115	25.8798	25.7458	25.8162	25.6894	25.5669	25.7323	25.4793	25.6453	25.3799		25.2178	25.8568	25.7049	25.9692	25.229	25.4463	25.4661	25.7806	25.6146	25.3282
PROT_0116	28.474	28.369	28.4842	28.4352	27.8969	28.1365	28.0742	28.0991	28.4301	28.2526	28.5702	28.4893	28.2968	28.8761	28.4229	28.6294	28.427	28.6036	28.5136	28.5048
PROT_0117	23.7778	24.1814		24.1066	23.8898	23.9678	23.8965	23.7919	23.7914	23.9732	23.7996	23.9894	24.1134	23.8332	23.787	24.0384	23.912	24.0876	23.9388	23.8181
PROT_0118	26.2166	26.2946	26.2748	26.2899	26.1073	26.1522	26.3776	26.6902	26.2749	26.1802	26.0908	26.1138	25.9912	26.2059	26.2169	26.1734	26.1678	26.2443	26.1954	26.2113
PROT_0119	22.1969	22.5085	22.0307	22.5619	22.0795	22.0828	22.4175	22.1318	21.7059	22.4889		22.2544	22.279	21.8713	22.3945	22.6597	22.1712	22.2054	22.0665	22.249
PROT_0120	22.1973	21.7106	21.8656	21.6734	21.6339	21.7372	21.7338	21.8297	22.1618	21.7027	21.1589	21.9721	21.8766	21.5118	21.7182	22.135	22.2229	21.8136	22.3874	21.5345
PROT_0121	26.2419	26.0037	26.1586	26.0996	26.1769	25.8786	26.1924	26.345	26.3141	26.3211	26.2681	26.3425	26.429	26.3188	26.3326	26.2573	26.3925	26.0993	26.2494	26.5898
PROT_0122	22.3671	22.4833	22.006	22.06	21.973	22.1682	21.8423	22.4639	22.1002	21.7922	22.2019	22.5431	21.9544	21.9834	22.3307	22.0127	22.6712	22.4182	22.2999	22.4599
PROT_0123	21.929	22.071		21.8014	21.4926	21.4434	22.041	21.5356	21.7115	21.9275	22.3063	22.1301	21.8402	21.7836	21.7815	21.6848	21.684		21.9201	
PROT_0124	23.1596	23.3776	23.345		23.1451	23.383	23.2851	23.0728		23.7711	23.2443	23.4688	23.0537	23.1239	22.7537	23.3726	23.2299	23.3776	23.169	23.4648
PROT_0125	23.2915	23.206	23.2028		23.5981	23.2431	23.4372	23.1591	23.3054	23.1381	23.1812	23.6458	23.7664	23.3192	23.3158	23.1556	22.7636	23.1177	23.0201	23.359
PROT_0126	21.7945	21.7135	21.7879	22.0084	21.9539	21.4962	22.2576	21.5013	21.7492	21.6026	21.7199	21.829	21.6719	21.5317	21.884	21.5224	21.8371	21.7075	21.2651	21.7835
PROT_0127	25.1923	25.2184	25.5773		25.2634	25.2031	25.6254	25.5366	24.9837	25.5054	25.2827	25.2278		24.9984	24.9276	24.6463	25.649	25.1868	25.2657	25.4975
PROT_0128	23.5274	23.7623	23.5576	23.9204	23.5198	23.4315	23.5	24.0724	23.3084	23.6692	23.1528	23.5298	23.4977	23.7461		23.2985	23.3808	23.8217	23.3236	23.4908
PROT_0129	24.6846	24.5024	24.6751	24.8228	25.0944	24.345	24.808	24.4204	24.8053	24.7259	24.7192	24.4608	24.7289	25.032	24.6017	24.7771	24.7303	24.7179	24.6547	24.5388
PROT_0130	25.1372	24.8741	25.1573	25.1913	25.2702	25.3863	25.244	25.1423	25.0763	25.5864	25.2743	25.5067	25.5723	25.685	25.3485	25.2597	25.3007	25.3358	25.2863	25.612
PROT_0131	26.0744	26.1663	25.8781	25.6709	26.12	25.7008	25.9528	25.6499	25.7459	25.3569	25.5766	26.106	25.782	25.7602	25.9741	25.9169	25.7023	25.5282	26.1008	25.4945
PROT_0132	22.6184	22.4717	22.417	22.0734	22.3779	22.3583	22.7253	22.5654	22.4817	22.165	22.6313	22.0851	22.2382	22.5133	22.4795	22.7013	22.7199	22.5221	22.7734	22.1828
PROT_0133	26.0515	26.4691	25.9265	26.2166	25.9764	25.9701	26.2527	26.1407	26.3197	26.0543	26.0993	26.21	26.0014	26.2247	26.2541	26.5713	25.9905	26.2349	26.0653	26.0543
PROT_0134	28.9293	29.0084	28.7746	29.0167	28.8337	28.6439	29.1728	28.9449	29.1711	28.9271	29.0909	28.9141	29.0614	29.1188	29.0734	29.0659	28.6742	28.9352	28.886	29.0245
PROT_0135	24.3318	23.7811	24.0111	23.6637	24.2528	23.731		23.776	24.0559	23.9206	24.1232	24.2851	24.1005	24.0982	24.1553	24.289	24.0772	24.4171	23.8428	23.8836
PROT_0136	22.4123	22.3877	22.4642	22.2417	22.5514	22.5454	22.6088	22.5177	22.1683	22.2367	22.3841	22.5005	22.3223	22.4313	22.2176	22.0973	23.0191	23.023	22.8331	23.1279
PROT_0137			18.8167		18.4572			19.1546	17.5287	18.7876				18.4269	17.9072	18.1685		18.6476	18.0071	
PROT_0138	17.5485				19.0326		18.8882	18.5058			18.6083		19.1734	18.0943			18.9883	19.2355		
PROT_0139	23.0271	23.0281	23.7035	23.2112	23.8411	23.3455	23.8684	23.5519	24.1099	23.6088	24.1529	23.9461	23.3997	23.7158	23.7206	23.3841	23.0581	22.9511	22.9115	23.1323
PROT_0140	20.7076	20.2886	20.2976	20.8247	20.9043	20.4305	20.4051	20.8902	20.649	20.6665	20.7949	20.5528	20.7281	20.196		20.6829	21.1024	20.7663	20.7009	20.8024
PROT_0141	24.4707	24.3764	23.9853	24.0721	24.0056		24.1466	23.8633	23.8894	24.2768	24.1413	23.9627	24.0727	24.1546	23.8074	24.1708	24.6385	23.9862	24.155	24.5128
PROT_0142	25.9619	25.575	25.683	25.8051	25.9319	25.4847	25.7139	25.4704	26.037	25.3825	25.9878	25.462	26.1252	25.9497	25.7291	25.5319	26.1366	25.5447	25.9577	25.6802
