protein_id	Par_t1	Par_t2	Par_t3	Par_t4	HomEdA_t1	HomEdA_t2	HomEdA_t3	HomEdA_t4	HomEdB_t1	HomEdB_t2	HomEdB_t3	HomEdB_t4	HomRevA_t1	HomRevA_t2	HomRevA_t3	HomRevA_t4	HomRevB_t1	HomRevB_t2	HomRevB_t3	HomRevB_t4
PROT_0023	22.6665	22.7229	22.9891	22.7941	22.4617	22.9075	22.7611	22.5277	22.5588	22.6212	22.3887	22.6777	22.8629	22.7707	22.7237	22.1383		22.6539		22.8975
PROT_0024	22.3656	22.3097		22.4241	22.2835	22.6112	22.7818		22.4746	22.5329	22.3141	22.3521	21.9347	22.4791	21.8712	21.8641	22.5255	22.8493	22.0241	22.476
PROT_0025	22.1213	22.1146		21.2151	21.8232	21.7082	22.3433	22.2308	22.0899	21.9857	22.31	22.1371	22.0905	21.8701	22.3244	21.7242	22.2204	21.8887	21.5911	21.6929
PROT_0026	24.0386	24.2401	24.3472	23.9577	23.917	23.4957	23.6065	23.4327	24.0463	23.6767	23.9624	23.8262	24.3893	23.3997	24.1127	23.7884	23.5898	23.7127	23.9397	23.5483
PROT_0027	20.0892	20.627		21.275	19.9233	20.1327	20.4392	20.0877	20.1469	20.4989	21.2741		20.9849	20.6169	20.442	19.8325	20.9214	20.2595	20.5736	20.2968
PROT_0028	21.5571	21.8422	22.1149	22.1809	21.8824	21.8489	21.5798	21.8197	22.0853	21.9185	21.5654	22.139	21.6183		22.1071	22.0488	21.6801	21.8821	21.4728	22.337
PROT_0029	25.8684	25.6308	25.588	25.4285	25.5164	25.2408	25.1779	25.3892	25.4679	25.3937	25.2149	25.2346	25.2596	25.4732	25.5867	25.3982	25.4718	25.149	25.2707	25.2313
PROT_0030	20.4251	20.538	19.9324	19.9521	20.2882	19.6924	20.2141		20.7892	20.2836	20.5409	20.9048	20.9185	21.0613	20.7151	19.7622	20.4289	20.5408	20.0962	20.703
PROT_0031	21.6282	21.1993	21.5522	21.3362	21.1662	21.6897	21.3117	21.333	21.5277	21.9709	21.9917	21.8757	21.5975	21.5484	21.8153	21.4571	21.1964	21.9686	21.7301	21.676
PROT_0032	25.8467	25.9738	25.9244	26.1183	26.0005	26.2297	25.9686	26.3094	26.0502	26.2183	26.0722	26.4117	25.9231	25.7863	26.0881	25.9711	26.3223	26.4532	25.8194	26.1106
PROT_0033	27.8733	28.1013	28.1934	27.6404	27.9244	27.7785	27.7848	27.8604	26.8676	27.0789	26.8846	26.8317	27.6077	27.4536	27.5955	27.8159	27.8605	27.8863	27.6204	27.7911
PROT_0034										18.4262				16.6728				18.5238	18.6608	
PROT_0035	19.7871		19.6941	19.5155	19.2418		18.404	19.7198	19.2789	19.3486		20.0015	18.8356	20.1196	19.6198	20.0292		19.1398	19.3426	19.7283
PROT_0036	22.4301	23.1186	22.8602	22.844	22.7488	23.14	22.8767	23.0266	22.8671	22.6761	22.8481	22.949	22.7093	23.228	22.8363	22.8302	22.8076	23.108	22.5408	22.869
PROT_0037	22.6575	23.183	23.1207	23.055	23.3892	23.1256	23.1234	22.8375	22.7748	23.133	22.6651	23.2284	23.1128	22.8646	23.0492	22.763	22.7161	23.0367		23.1052
PROT_0038	22.636	22.6178	22.8039	23.0886	22.4614	22.7482	22.8513	22.6942	22.6666	22.6296	23.0479	22.8239	22.5302	22.6635	22.7698	22.0498	23.0832	22.7524	22.7701	22.8299
PROT_0039	22.0045	22.0113	22.2008	21.8777	21.9459	21.4804	21.2475	21.437	21.9706	21.1496	21.5921	21.7144	22.7768	22.7542	22.8348	22.4189	23.1182	22.7336	22.6639	23.0628
PROT_0040		18.2607						17.2705												
PROT_0041	21.6889	21.0916	21.2909	21.4378		21.5701	21.4213	21.357	21.3192	21.44	21.0108	21.5965	21.3943	21.4308	21.4668	21.0016	21.9599	21.5078	21.7288	21.4197
PROT_0042	25.7434	26.3078	25.7674	25.8024	22.7076	22.2139	22.3135	22.7477	22.3901	22.5826	22.4252	22.7622	26.8041	26.9728	26.744	27.2201	26.85	27.183	26.9054	26.9894
PROT_0043	20.5489	20.7484	20.3609	20.5095	20.7251		20.2586	20.6594	20.2419	20.6165	20.465	20.3901	20.1912	20.444	21.078	20.7453			19.9221	20.572
PROT_0044	25.0188	25.3542	25.1915	25.2673	24.9111	24.8825	25.0584	24.8497	25.0883	25.0414	24.8445	25.166	24.8262	25.171	24.8457	24.9784	24.8103	25.2421	24.902	25.0277
PROT_0045	21.8228	21.9969	21.908	21.9892	22.0281	21.7649	21.9951	22.1389	22.0644	22.3528	21.6189	21.9132	21.4296	21.8752	21.7939	21.361	22.5357	22.0904	21.658	21.8886
PROT_0046	23.251	23.3643	23.9218	23.5415	23.3828	23.4481	23.3034	23.6	23.7176	23.3539	23.6179	23.6726	23.244	23.4126	23.6118	23.2224	23.1882	23.6922	23.4954	23.8066
PROT_0047	21.4827	21.4068	21.6866	21.1928	21.279	20.9744	21.6055	21.4158	22.8817	23.1079	22.9703	22.4429	21.2704	21.6521		21.2578	21.5228	21.1158	21.7204	
PROT_0048	25.4314	25.132	25.287	25.3394	25.5651	25.3662	25.8997	25.5509	25.595	25.597	25.5704	25.3824	24.9996	25.3636	25.5475	25.4055	25.2884	25.4665	25.6196	25.3196
PROT_0049				17.7947	16.6699		19.161							17.6037		16.1551				
PROT_0050	24.3404	24.6489	24.5176	24.3325	24.5012	24.1565	24.6759	24.668	25.0348	24.4497	25.0821	24.7107	24.4263	24.3276	24.5712	24.2247	24.6212	24.2654	24.3812	24.0691
PROT_0051	21.3994	21.7347	21.0771	20.89	21.2381	21.505	20.9731	21.5416	21.4945	21.3248	21.1786	20.5097	21.7549		21.6711	20.8568	22.3892	21.119	21.0744	
PROT_0052	22.0279	22.0018	21.9778	22.1523	22.1981	21.7717	21.771	21.8706	21.6689	22.0313	21.4781	22.159	21.0599	21.3881	20.8398	21.0292	21.5899	22.1716	21.5201	21.6876
PROT_0053	26.4876	26.6694	26.5709	26.7443	27.5291	27.4234	27.6949	27.1325	27.4817	27.2837	27.239	27.6128	26.0787	25.7467	26.2416	25.6781	26.3107	26.0563	26.1418	26.3076
PROT_0054	20.683	21.4006	21.3183	20.903	20.7922	20.833	20.8194	20.943	20.9247	21.2342	21.1366	20.2576	20.9346	20.7475	20.6021		21.2238	20.5897	20.9937	
PROT_0055	24.9092	24.7335	25.7782	25.1083	25.5285	25.1327	25.1627	25.4281	25.0071	25.0308	25.2514	24.7685	25.0589	25.0737	25.2872	24.7886	25.1253	24.857	25.4356	
PROT_0056	21.316	20.7621	20.8274	21.2061	21.042	20.8603	21.4407	21.2313	20.8185	20.9341	20.9838	21.254	20.7509	20.4107	20.5439	20.6134	21.3503	20.8739	20.5658	21.1216
PROT_0057	25.1587	24.9914	25.3007	24.9469	25.0529	25.0576	25.2601	25.0997	25.1455	25.2815	24.8692	24.9674	25.1555	25.2731	24.9233	25.1823	25.3453	25.495	25.2446	25.1966
PROT_0058	24.6898	24.5621	24.8345	24.2899	24.8136	24.7297	24.8991	24.4383	24.6872	24.7371	24.7731	24.7482	24.3255	24.4699	24.6288	23.9502	24.1911	23.9084	24.3111	24.0983
PROT_0059	23.6035	23.8152	23.433	23.7802	23.4011	23.4248	23.3808	23.2695	23.5071	23.4371	23.9434	24.0851	23.2989	24.0266	23.4593	23.7908	23.5497	23.656	23.502	23.4217
PROT_0060	23.2873	23.4264	23.1092	23.1788	22.8587	22.8106	23.208	23.0592	23.2575	23.1025	22.9752	23.1431	23.1393	22.7146	22.9324	23.0149	23.0666	23.5468	23.2241	23.0603
PROT_0061	24.5694	24.5675	24.4859	24.5272	24.6918	24.4335	24.585	24.2128	24.4685	24.8027	24.2034	24.4489	24.596	24.5627	24.3193	24.8494	24.8355	24.5341	24.0433	24.743
PROT_0062	24.917	24.8182	24.9711	24.8244	24.9495	24.9744	25.1534	24.8114	25.2385	25.3264	25.0207	24.9066	24.8578	24.8592	25.2204	24.8039	24.8335	25.1504	25.0009	24.8056
PROT_0063	23.2359	23.2901	23.0493	22.7379	23.9327	23.2828	23.6853	23.8676	23.6375	23.5815	23.4774	23.4547	22.9371	23.0865	22.5767	22.6345	23.3468	22.7646		
PROT_0064	25.057	25.2981	25.2632	24.997	25.1003	24.8499	24.958	24.8743	25.2135	25.2375	25.0094	24.9753	24.8649	25.0768	25.5222		25.1842	25.0197	24.9087	25.4033
PROT_0065		19.8179	20.3407				20.452	19.6775	19.0702	20.6127	19.9468	19.596	19.813	19.918	19.6144	19.9844	19.9767	20.5998	18.9804	20.358
PROT_0066	21.0863	20.3369	20.736	20.7189	21.1084	21.115	20.711		20.79	20.8134	20.6575		20.6801	20.5201	20.8816	20.9519	20.9399	20.7799	20.9127	20.6727
PROT_0067	22.9848	23.1932	23.4817	23.1682	22.4761	22.6483	22.4152	22.7455	22.8648	23.1229	22.6677	22.8223	23.5664	23.5264	23.583	23.8977	23.6526	23.3693	23.279	23.4599
PROT_0068	28.2352	28.3807	28.2501	27.9439		28.2589	28.3865	28.4586	28.3158	28.4069	27.9647	28.4725	28.1966	28.5611	28.419	28.4292	28.4398	28.1868	28.3575	28.3814
PROT_0069	21.5056	21.7349	22.2203	21.8889	22.3587	22.073		21.655	21.7438	21.6543	21.1761	21.4749	21.848	21.038	21.1832	21.5033	21.4353	22.1726	21.58	
PROT_0070	22.4416	22.9391	22.9766	22.8649	23.2415	23.2602	22.8896	23.2973	22.8643	22.7779	22.6335	22.8443	22.5675	23.3006	23.1115	23.0445		23.5589	22.6917	22.8369
PROT_0071	21.6511	21.0733	20.98	20.936	20.7594	20.6828	21.5107	20.7647	21.1582			20.7567		20.8911	21.4839	20.5737	21.401	21.4053	21.1022	20.7365
PROT_0072			19.4285	18.6833	19.7214	18.9447		19.1933	18.7753	18.9908	19.0856	19.7702					18.7293	18.4886		17.756
PROT_0073	23.7284	24.0121	24.0134	23.7851	23.8423	23.8619	23.7761	23.702	23.9843	23.7797	23.8347	24.1355	23.8072	24.0293	23.6914	23.5637	23.9677	24.2011	23.9631	23.9596
PROT_0074	22.0987	22.0047	22.2876	21.7426	22.5172	21.5923	22.0425	21.8518	22.1207	21.9142	22.1775	21.8476	22.0934	21.9501	21.9839	21.8138		22.2948	21.9367	22.4252
PROT_0075	23.8659	23.9323	23.8113	23.6962	23.9134	23.8935	24.0822	23.8577	24.2436	23.7792	23.8552	23.9191	23.7284	23.5287	23.7802	23.9253	23.6764	23.6704	24.1364	24.1226
PROT_0076	19.2014		19.639		19.962	19.9984	19.256	20.2837	19.842	20.1098	19.4089	20.0687	19.5102	20.4409	20.2662		19.2447	20.029	20.2884	19.982
PROT_0077	22.9506	22.9434	22.7701	22.9579	23.2648	22.8348	23.316	22.7202	23.0614	22.4524	23.0696	22.8005	22.9486	22.8456	23.0848	22.6189	23.2154		23.29	22.6478
PROT_0078	23.8924	23.8938	23.4832	23.8288	23.7111	23.8499	23.6893	24.1598	23.8678	24.0538	23.6224	24.2185	23.7714	24.0784	23.2056	24.1176	23.6473	23.5303	23.6115	23.929
PROT_0079					19.5058															
PROT_0080	24.7059	24.9433	25.2039	24.7913	25.2135	24.8288	25.2133	24.9875	25.3438	25.1102	25.4046	24.9908	24.8174		25.0019	24.9633	25.2984	25.2536	24.7627	24.7669
PROT_0081	22.942	23.3144	22.8039	22.8782	23.3762	22.5667	22.914	22.6441	22.6143	23.033	22.8964	22.7073	22.8934	22.9432	23.3059	22.4392	23.194	22.827	22.6247	22.4657
PROT_0082	22.6309	22.9103	23.0483	22.5421	22.8891	23.046	23.0594	23.2829	23.0605	22.7168	23.0548	22.8404	23.1637	23.0974	23.1286	23.1358	23.4022	23.1303	22.8052	22.4866
PROT_0083		22.4283	22.3883	22.2449	22.5417		21.9975	22.484	22.3363	22.5348	22.043	22.6125		22.4134	22.0199	22.3017	22.3137	22.4901		22.909
PROT_0084		21.3614	21.1249	21.8531	21.6749	21.625	21.0623	21.3913		21.5381	21.3709	21.6147		21.6846	21.6095	21.8676	21.0416	21.8334	22.0212	21.4873
PROT_0085	23.742	23.8041	23.5953	23.6627	23.6744	23.5286	23.7191	23.6813	23.7072	23.658	23.4749	24.2027	23.6588	23.6332	23.725	23.4075	23.7911	23.8755	24.0448	23.777
PROT_0086	18.6057		19.1235		18.0317	18.4413			18.5497	18.8419			17.9476	18.6084		18.4866	19.5193		18.9503	18.9144
PROT_0087	23.4783	24.2579	23.8849	23.8601	23.6107	23.5597	23.6761	23.6908		23.6127	23.8823	23.5646	23.8364	23.5381	23.4153	23.8594	23.8446		23.3339	23.9195
PROT_0088	23.8003	23.4001	23.6708	23.222	23.4231	23.2783		23.577	23.5312	23.1223	23.2308	23.5291	23.5487	23.7113		23.4364	23.8202	23.5392	23.6773	23.2135
PROT_0089	23.1231	23.0631	22.9419	22.5309	22.7487	22.7808	22.9464	23.1587	22.8253	22.789	22.8443	23.1856	22.9273	22.8494	22.7802	22.9587	22.529	22.8258	22.8557	
PROT_0090	24.1079	23.8184	24.3988	24.1361	23.861	23.8239	23.8008	23.8274	24.0168	24.2107	23.7901	23.989	24.3682	23.996	23.8686	24.1	23.7262	24.1761	23.9059	23.7715
PROT_0091	26.5403	26.6442	26.5766	26.4341	26.4574	26.4332	26.3001	26.4774	26.4395	26.4984	26.4054	26.2432	26.3519	26.4813	26.4404	26.4154	26.5808	26.6027	26.0435	26.5328
PROT_0092	23.1161	22.9463	23.2845	23.1449	23.4135	23.136	23.7007	23.5795	23.4417	23.29	23.4243	23.2843	21.701	21.6045	21.6755	21.2921	23.7093	23.5924	23.3579	23.2135
PROT_0093	20.0152	19.3899	20.654	19.2428		19.7517	19.8536	19.5462	19.5592		19.6562	19.6155	19.419	19.7033	20.3334	19.9354	19.9795	19.0272		19.4467
PROT_0094	20.8282	20.4713	20.5974	20.2395	19.9981	19.9731	20.0115	20.5262	21.0243	20.8524	20.5939		20.9146	20.222	20.6446	20.2657	20.6222	20.8174	20.7735	20.9225
PROT_0095	20.7687	21.2062	21.1027	20.5881	20.649	20.6464	21.2307		20.9788	21.4962	20.6376	20.9751	20.437	21.1629	21.1194	20.9609	20.6837	20.5771	20.9629	20.461
PROT_0096		19.5448	19.2273	19.9512		19.1169				19.1213	19.2718	20.4352	19.4363	20.0732		19.2638	19.9399		19.281	
PROT_0097	19.5328	20.5121	19.7953	20.075			19.6813	19.6591		20.2796	19.6537	20.2349	19.4262	19.9045	19.6623	19.2113		19.8629	19.4936	19.7925
PROT_0098		19.8241		19.5768	20.1706			19.8676	19.754	19.35		20.5472	19.5418	19.8618			19.553	19.9732	19.9272	19.6539
PROT_0099	26.0401	26.2057	26.1534	25.8798	25.6926	25.7561	26.0191	26.1709	25.9479	25.9693		26.1945	26.1366	26.2249	25.8982	25.3537	25.9172	26.0821	26.0736	26.0778
PROT_0100	25.5713	25.7622	25.9191	25.571	25.7863	25.577	25.7804	25.9387	25.9995	25.814	25.8461	25.8886	25.5996	25.7996	25.9975	25.3347	25.6743	25.9223	25.8725	25.8273
PROT_0101	20.6623		21.0257	20.7255	20.5286	20.3202	20.5631	20.5778	20.9871	21.1918	20.8609	20.9152	20.7072	21.0573		21.2496	20.8864	20.6943	20.952	21.0763
PROT_0102	23.6273	23.2137	23.7391	23.3339	23.6188	23.5179	23.6921	23.5642	23.4482	23.0643	23.5929	23.3905	24.0632	23.4377	23.9895	23.4065	23.9864	23.5942		23.1297
PROT_0103	23.6916	23.4118	23.6199	23.3066	23.6384	23.4151	23.3669	23.428	23.5174	23.616	23.5625	23.7873	23.4175	23.2089	23.8029	23.2463	23.4993	23.319	23.1971	23.4952
PROT_0104	27.2237	27.273	27.2956	27.0249	27.1734	27.2324	27.2704	26.902	26.9894	27.1775	26.8864	27.0897	27.0189	27.0647	27.2022	27.0547	27.4993	27.2333	26.9082	27.0577
PROT_0105	19.0196	19.0244	19.1607		18.7307				19.625				18.9545	18.8321	17.8256	18.6602	18.3802		19.1203	
PROT_0106	22.9301		22.803	22.7091	22.6604	22.5234	22.9579	22.4369	23.2009	22.6203	22.697	23.0797	23.028	22.496	22.6768	22.6237	22.9337	22.9793	22.5933	22.678
PROT_0107	20.0575	20.9174		20.862	20.8383	21.2852		20.5471	21.2073	21.0369	20.638	20.2637		20.5833	21.4324	20.9625		21.4142	20.8495	20.6197
PROT_0108	22.6565	22.636	22.2222	22.2855	22.3334	22.3879	22.5991	22.2467	22.741	22.4457	22.4308	22.1906	22.4509		22.1185	21.9946	22.6683	22.5889	22.3493	22.3657
PROT_0109	22.6964	22.7063	22.4856	22.6157	22.407	22.2102	22.288	22.1566	22.1368	22.1685	22.2484		22.3737	22.0851	22.1432	21.8783		22.4632	22.5837	22.6347
PROT_0110	20.3141	20.5328	20.3445	20.0832	20.0711		20.391	20.2983	20.0159	20.8907	19.295	20.7671	20.394	21.0847	20.0557	20.0523	19.8699	21.3922		20.6204
PROT_0111	24.4016	24.2911	24.509	24.5382	24.3911	24.3454	24.5363	24.106	24.4296	24.0661	24.5604	24.3826	24.5931	24.7606	24.4631	24.6225	24.7874	24.3993	24.6065	24.6317
PROT_0112	24.7143	24.8882	24.9208	24.944	24.7923	24.9447	25.0058		25.1716	24.9474	25.1165	24.7925	25.1962	24.8315	25.1535	24.7708	25.4128	25.402	25.4356	24.8353
PROT_0113	18.9537	17.9069		19.0895	19.3822	18.8378	19.3368			18.8933	18.35	19.1898		18.221	18.8204			19.0195	19.3857	
PROT_0114	26.1492	25.873	26.1717	25.8804			25.8261	25.8399	26.0524	25.9365	26.1405	25.6217	26.1909	25.7232	26.1855	25.7054	25.982	25.847	25.9445	25.7056
PROT_0115	25.8189	25.7713	25.5973	25.7469	25.7909	25.5277	25.5211	25.6593	25.5851	25.8436	25.5675	25.5471	25.65	25.9836	25.8198	25.62	25.6228	25.8076	25.7695	25.6243
PROT_0116	28.4639	28.0389	28.4927	27.7431	28.1673	28.279	28.3154	27.8274	28.4321	28.4617	28.153	28.1227	28.2193	28.1017	28.2731	27.8897	28.1725	27.9032	28.2839	28.2125
PROT_0117	24.1136	24.0167	23.8996	24.0814	23.6605	23.6121	23.9268	23.8742	23.8345	23.7664	23.8988	23.9149	23.7204	24.0346	23.8357	23.8366	24.0914	24.2311	24.0421	24.1794
PROT_0118	26.1948	26.187	26.3774	26.4095	26.3452	26.3495	26.0447	26.0874	26.3051	26.374	26.1339	26.2777	26.1022	26.2852	25.9234	26.0835	25.8412	25.9071	26.1325	25.6914
PROT_0119		22.565	22.6432	22.4727	22.2997	22.1124	22.809	21.9935		22.8335	22.6965	22.5401	22.3653	22.0321	22.4097	21.8039	22.7637	22.6127	22.4036	22.5964
PROT_0120	21.9206	22.0365	21.98	21.7372	22.821	22.1899	23.294	22.7619	22.1479	22.1556	21.8742	21.5013	21.8215	21.6909	21.8954	22.1034	21.7821	21.5966	22.183	21.2821
PROT_0121	26.5291	26.1713	26.9025	26.4665	26.5213	26.4299	26.7171	26.0386	26.4208	26.2877	26.3939	26.1437	26.1307	26.1373	26.3563	25.7116	26.6754	26.337	26.2621	26.1214
PROT_0122	22.0747	22.1744	22.0585	22.2666	22.0307	21.6381	21.8472	22.0529	21.8311	21.9421	22.244	21.9264	22.1275	21.9149	22.3132	22.2997	22.036	22.0037	22.0759	
PROT_0123	21.5099		21.3734	21.37	21.8314		22.0665	22.1104	22.1753	21.8421	22.1025	22.0366	21.523		21.7835	21.7057	22.2978	22.2442	21.9879	21.7938
PROT_0124	23.7226	23.1259	23.4381	23.3315	23.6448	23.416	23.8637	23.1997	23.5091	23.7761	23.0117	23.6061	23.4904	23.2174	23.5088	22.9319	23.5099	23.6308	22.9656	23.1387
PROT_0125	23.5457		23.6696		23.39	23.4691	23.5684	23.556	23.0045	23.4534	23.4175	23.5894	23.876	23.2517	23.8253	23.3782	23.7491	23.458	23.755	23.0665
PROT_0126	22.2359	21.4082	21.9345	21.849	21.4428	21.9256	21.8674	21.3762	22.2084	21.5758	22.1861	21.3338	21.4251	21.9028	21.9195	21.9655	21.6711	21.9114	22.1439	21.2577
PROT_0127	25.2995	25.2991	25.3283	25.5723	25.1614	25.3639	25.3123	25.3162	25.2269	25.1463	25.0356		25.2752	25.4679	25.053	25.2553	25.16	25.3484	25.0982	25.3332
PROT_0128	23.3999	24.0621	23.8493	23.8852	23.2588	23.3692	23.2167	23.1574	23.8945	23.8308	23.9772	24.0729	23.8679	24.0451	23.7983	23.9834	24.0229	23.8109	23.6735	23.8638
PROT_0129	24.3556	24.0767	24.5246	24.2626	24.533	24.3805	24.6763	24.5019	24.3135	24.5643	24.4326	24.455	24.8189	24.6545	24.8498	24.541	24.3078	24.0819	24.415	24.2279
PROT_0130	25.378	25.4069	25.3311	25.2879	25.1264	25.194	24.7269	25.3274	25.3461	25.2151	25.2749	25.114	25.2871	25.1275	25.2217	25.2215	25.3305	25.4159	25.1604	25.1784
PROT_0131	25.8589	25.6775	25.7128	25.3832	25.9536	25.857	25.787	25.494	25.6999	25.429	25.6629	25.6834	25.874	25.7509	26.0299	25.7224	25.6822	25.9253	25.6776	26.0124
PROT_0132	22.6237	22.1088	22.4641	22.4032	22.3076	23.1206	22.5103	22.3126	22.2775	22.2478	22.2263	22.5287	22.2603	22.5129	22.2455	22.592	22.3159	22.4921	22.0193	22.2993
PROT_0133	25.9686	25.9724	26.0196	25.9649	26.1103	26.2042	26.1181	26.1817	26.1424	26.1829	26.0477		26.2355	26.2468	26.4575	26.0299	26.0661	25.9986	26.1642	26.0189
PROT_0134	28.6593	28.5374	29.0277	28.9386	28.5978	28.5249	28.5924	28.5895	29.4085	29.4357	29.7311	29.6102	28.4419	28.6859	28.7681	28.6296	28.7265	28.4297	28.7647	27.9968
PROT_0135	24.2769	24.3588	23.8328	23.9747		23.891	23.7456	24.0946	23.7525	24.1487	24.2689	24.3176		24.0231	24.099	23.8888	23.9936	23.8548	24.102	23.7535
PROT_0136		22.3116	22.1054	21.8196	22.6807	22.8376	22.3724	22.5391	22.4741	22.2628	21.8528	22.512	21.8784	22.1909	22.2452	22.0334	22.1654	22.3519	21.9935	22.3589
PROT_0137						18.701									17.9146				17.9416	17.8903
PROT_0138					18.625					18.413						18.0087		18.4373	17.9669	18.1158
PROT_0139	23.8476	23.4843	23.6476	23.7285	23.9791	24.079	23.9794	23.829	24.4044	23.8795	24.5058	23.9226	23.1215	23.0883			22.9332	22.692	23.1979	22.9835
PROT_0140	21.1555	21.0095	20.7821	20.6596	21.0663	20.3775	20.6603	20.875		20.7455	21.217	20.3481	20.0721	20.6081	21.0121	20.9664	21.5507	20.7132	21.0521	20.7339
PROT_0141	24.0631	23.8894	24.1877	24.2656		23.4579	23.9098	23.7134	23.9039	23.7542	23.9424	23.7148	24.2321	24.1347	24.0196	24.0683	24.3469	24.0988	24.3475	24.1273
PROT_0142	25.6455	26.0538	25.8657	25.8711	25.6135	25.6858	25.8253	25.9221	25.7417	25.801	25.5162	25.8285	26.3792	26.1166	26.248	26.5658	25.6507	26.0545		25.9494
