protein_id	Par_t1	Par_t2	Par_t3	Par_t4	HomEd_t1	HomEd_t2	HomEd_t3	HomEd_t4	HomRev_t1	HomRev_t2	HomRev_t3	HomRev_t4
PROT_0036	23.1133	23.0065	22.9737	22.7232	23.063	23.0522	22.8255	23.0125	22.8888	23.0984	22.8524	22.8554
PROT_0037	22.9835	23.198	23.2388	23.242	23.2897	23.1303	23.7651	23.0871	23.3517	23.2232	23.0554	23.0652
PROT_0038	22.7828	22.0847	22.5854	22.4185	22.566	22.6967	22.4873	22.4898	22.7331	22.1817	22.7072	22.3804
PROT_0039	22.2994	22.2948	22.2503	22.48	22.0458	21.7915	21.4958	21.745	23.1078	22.5757	22.8605	22.4549
PROT_0040												
PROT_0041	21.6239	21.5339	21.1301	21.4554	21.3233	21.4715	21.4256	21.1374	21.4101	21.2463		21.3288
PROT_0042	25.7127	25.6637	25.5861	25.6225	22.6084	22.4495	22.7171	22.5988	27.2178	26.8558	26.8281	27.2149
PROT_0043	21.0876	21.3565	20.517	21.4622	20.6342	20.946	20.9027	20.5135	21.1107	20.6295	20.599	20.5763
PROT_0044	24.7926	25.0169	24.8534	24.981	25.1257	24.9869	25.126	24.9781	24.9335	25.116	24.7812	24.603
PROT_0045	21.7876	21.9868	21.9192	21.8703	21.6615	22.2276	21.7906	21.9432		21.4599	21.7997	21.8433
PROT_0046	23.5542	23.4291	23.7993	23.5491	23.7624	23.5943	23.5073	23.1995	23.3239	23.677	23.3062	23.3968
PROT_0047	20.9396	21.1482	21.4192	21.6566	21.3012	21.777	21.4946	21.129	21.5642	21.0503	20.751	21.3617
PROT_0048	25.3497	25.0624	25.5743	25.1074	25.678	25.3769	25.1426	25.117	25.4402	25.5162	25.5243	25.6253
PROT_0049	17.9507	18.6061		19.6952								17.4979
PROT_0050	24.4669	24.2244	24.0901	24.1944	24.085	24.2721	24.4439	24.3167	24.419	24.0056	24.3218	24.0337
PROT_0051	21.599	21.1695	21.1286	21.3099	21.3644	21.5195	21.2096	21.2219	21.0873	21.4254	21.127	21.6051
PROT_0052	21.7583	21.5904	22.0346	22.2281		22.0753	21.3746	21.45	21.9204	21.8808	21.6419	21.846
PROT_0053	26.5554	26.3271	26.5952	26.6599	27.5695	27.555	27.6307	27.2661	25.8984	25.8908	25.7194	26.1194
PROT_0054	20.7853	21.011		20.5128	20.6524	20.8485		20.65	21.1019		20.7594	20.769
PROT_0055	24.9122	24.9281	25.1999	25.1701	24.9385	24.8644	24.7091	24.6969	25.1193	24.8895	24.8485	25.1562
PROT_0056	20.4673	20.8365		21.1221	21.2693	20.8463	21.0579	20.741	20.8668	20.2984	20.9142	21.2649
PROT_0057	24.9678	25.0824	25.1943	25.0787		25.421	25.359	25.4396	25.192	24.9559	25.137	25.0961
PROT_0058	24.3722	24.8123	24.2367	24.6267	24.9871	24.9173	24.8638	24.854	24.3094	24.1428	24.2051	24.7907
PROT_0059	23.5404	23.651	23.3601	23.1828	23.3396	23.2652	23.2297	22.8784	23.4487	23.43	23.2871	23.5627
PROT_0060	22.9176	22.8719	23.0945	22.801	23.4527	23.2363	23.2329	22.9372	23.5967	22.7446	23.1763	23.2767
PROT_0061	24.4501	24.3257	24.5092	24.5804	24.6279	24.587	24.3276	24.1743	24.4615	24.408	24.1536	24.4437
PROT_0062	25.0112	24.9828	24.9675	25.3672	25.1418	25.2999	25.2654	25.2536	25.0956	25.0645	24.9573	25.217
PROT_0063	23.1093	23.5207	23.1395	23.0256	24.3201	24.2362	24.2957	23.8431	23.0525	22.6971	23.4431	23.3369
PROT_0064	24.7229	24.7628	24.7352	25.1242	24.8206	24.8548	24.7547	24.8714	24.8211	24.5671	24.6992	24.7362
PROT_0065	19.7536	20.4328	20.3936	20.2046	19.6048	20.2847			19.7243		19.4171	19.3101
PROT_0066	20.749	21.0419	21.4068		20.5808	20.5305	20.337	20.2225	21.5055	20.6982	20.9321	20.5601
PROT_0067	23.2437	23.3268	23.4138	23.5498	23.0426	22.923	22.8791	22.9281	23.4314	23.4356	23.2609	23.4612
PROT_0068	28.401	28.1255	28.5132	28.5359	28.285	28.5322	28.4457	28.484	28.4823	28.1767	28.1326	28.1293
PROT_0069	21.0782	21.2283	21.6372	21.4279	21.4495	21.0143	21.9714	21.6388	21.3355	21.9726	21.8066	
PROT_0070	23.5805	23.2386	23.0182	23.0156	22.9665	23.0994	22.9181	23.1579	23.0614	22.9391	22.7937	22.8757
PROT_0071	20.8952	21.1603	21.1882	20.9748	21.833	21.4643		20.7857	20.8216	20.9525	21.1239	21.0213
PROT_0072	19.3076	19.6315	18.5867		19.0531	19.4274	18.8644		18.7468	19.7339	18.5896	19.3423
PROT_0073	24.1766	23.7026	23.8093	23.3792	23.6339	24.1819	23.8138	24.046	23.7271	23.6944	23.582	23.4845
PROT_0074	21.9551	22.0013	22.2806	22.2733	22.0034	22.1705	22.2007	21.9189	22.3332	22.065	21.8232	21.8534
PROT_0075	23.9209	23.5759	23.9216	23.6943	24.0309	24.0175	23.6093	24.0026	23.9963	23.6596	24.183	24.1033
PROT_0076	19.6149	19.8655		19.6753		19.5135	19.6683	19.5025	20.3378	19.5347	19.9117	19.6115
PROT_0077	23.2688	23.2116	23.4799	23.0315	23.4319	23.228	23.2216	23.1454	23.1683	22.8645	23.0164	23.3072
PROT_0078	23.9032	23.5092	23.5427	23.5508	23.7654	23.642	23.4082	23.595	23.8877	23.6268	23.4995	23.2279
PROT_0079		15.6915								16.927		
PROT_0080		24.9684	25.4029	25.2045	25.1196	25.2501	24.6332	24.9422	25.3231	25.1682	25.1266	25.0798
PROT_0081	23.0783	22.6526	22.8405	22.5861	22.8711	22.627	22.7924	22.7981	22.666	22.9348	22.8127	22.8811
PROT_0082	23.2415	22.838	23.0208	23.033	23.0327	23.163	23.0308	23.0906	22.9836	23.0314	22.8829	23.2012
PROT_0083	21.8205	21.8966	22.0913	21.9215	22.0163	22.2692	21.9303	22.0821	22.1514	22.054	21.7926	22.1839
PROT_0084	21.702	21.6147	21.6103	21.6003	21.2851	21.7516	21.757	21.5541	21.5912	21.5018	21.8631	21.3318
PROT_0085	23.6564	23.8234	23.5668	23.6403	24.049	23.9144	23.5693	23.6152	24.0355	23.4516	23.6852	23.4848
PROT_0086					18.9533			17.3037	18.7881		18.7351	
PROT_0087	24.0197	23.9283	23.7168	23.7487	23.8797	23.7494	24.1275	23.7952	23.8551	23.3381	23.5583	23.5474
PROT_0088	23.6464	23.6199	23.4485	23.2142	23.0075	23.3627	23.1563	23.5368	23.6711	23.296	23.5945	23.3488
PROT_0089	22.7403	22.9521	23.091	23.187	23.0255	22.9964		22.9245	22.9181	22.8913	22.6071	22.7409
PROT_0090	23.7116	23.8263	24.0671	24.0548	24.1416	23.8565	23.7572	23.656	23.8067	23.7896	24.0804	23.7642
PROT_0091	26.3431	26.2149	26.1472	26.2828	26.1276	26.2945	26.101	25.905	26.3564	26.0536	26.4089	26.0444
PROT_0092	23.297	23.4269		22.6044	23.2701	23.4155	23.1656	23.2198	22.9598	23.1423	23.4367	23.4706
PROT_0093	19.13		19.7432	19.5337	19.7801			19.8647	19.671	19.7195	19.7629	20.0706
PROT_0094		19.1204		19.8023	19.977		20.4196	20.4977	20.4835	19.9435	20.491	20.5963
PROT_0095	20.8577	20.9086		20.9524	21.4244	20.9051	20.6518	21.1762		21.0518	20.1764	20.6662
PROT_0096	19.2861	19.0491	19.815	19.5809		19.4093	20.3768	19.8388		19.2069	19.765	18.9916
PROT_0097	19.713	19.8999		20.0651	19.5291		19.882	19.5357	19.5128		20.126	
PROT_0098		19.6416		19.6251		20.6031	19.3921	19.79		19.7729	19.9045	19.4429
PROT_0099	25.859	25.5904		25.8152	25.9301	26.1281	25.5743	25.6255	25.8419	25.5798	25.6436	25.5268
PROT_0100	25.9729	26.2756	26.0315	25.9182	26.1895	26.1487	25.7909	25.8742	25.3837	25.6074		25.3589
PROT_0101	21.1827	21.04	21.2071	21.299	21.2266	20.8755	21.2674	20.6436	20.9958		21.1313	21.1052
PROT_0102	23.5712	23.7682	23.3814	23.5752	23.8319		23.727	23.8877	23.3959	23.6498	23.8375	23.6871
PROT_0103	23.127	23.6497	23.0702	23.2868	23.8165	24.2095	24.1718	24.2809	23.0075	23.0173	23.2251	23.4667
PROT_0104	27.0284	27.233	27.2855	26.8835	27.0618	27.0323	26.8033	27.087	26.9549	27.016	26.9921	26.93
PROT_0105	19.1967	18.9507		18.7381	18.1085	18.8283		19.2676			18.9693	
PROT_0106	22.3245	23.1864	22.8356	22.6329	22.6185	22.8386	22.8242	22.9571	22.714	22.7994	23.0949	22.666
PROT_0107	20.9293	20.5323	21.434	20.365	20.9438	21.0713	21.2285	20.5647	21.3604	21.1671	21.128	21.0891
PROT_0108	22.3744	22.758	22.3976	22.0668	22.5607	22.6221	22.2029	22.1931	21.354	21.6357	21.6168	21.755
PROT_0109	22.2879	22.2	22.2694	22.2794	22.3505	22.3466		22.0822	22.1586	21.9385	22.0167	21.9813
PROT_0110	20.6094		20.8335	20.1865	20.5746	20.8201	21.0387	20.892	20.5396	20.3168	20.0017	21.0402
PROT_0111	24.8759	24.7655	24.6858	24.832	24.8041	24.8018	24.8435	24.8324	24.5969	24.6367	24.8229	24.5284
PROT_0112	25.0779	25.0751	24.852	24.5566	24.7082	24.7494	24.8815	24.6877	25.0258	24.7837	25.0294	24.8653
PROT_0113		18.701									19.5034	17.9963
PROT_0114	25.8442	25.8941	25.9685	25.788	25.8149	26.0639	25.9506	26.0884	26.0015	25.5045	25.6757	25.9511
PROT_0115	25.6931	25.5851	26.1765	25.8122	25.8707	25.8736	25.6303	25.3376	25.7793	25.4289	25.4341	25.6325
PROT_0116	28.5216	28.3579	28.4449	28.2074	28.2003	28.244	28.0842	28.1794	28.2654	28.4722	28.252	28.4825
PROT_0117	24.0353	23.6927	24.0657	23.436	23.91	23.6723	23.8347	23.7741	23.8482	23.9385	23.996	24.0789
PROT_0118	26.2471	26.3345	26.0144	26.0723	26.0439	25.9913	26.0747	26.1767	26.0766	25.8044	26.2503	25.7627
PROT_0119	22.5178	21.954	22.4189	22.5028	22.3484	22.633	22.5935	22.5531	22.8288	22.2643	22.5665	22.6075
PROT_0120	21.8817	21.5704	21.5163	22.1157	22.4331	21.5319	21.8841	21.7768	21.8631	21.8032	22.4058	21.944
PROT_0121	26.3356	26.4966	26.4702	26.1595	26.4975	26.7558	26.5042	26.24	26.6829	26.4663	26.514	26.3891
PROT_0122	22.2299	22.1262	21.9902	22.5144	22.2837	21.9615	22.2167	21.8872	22.1856	21.8893	21.8238	22.0594
PROT_0123	21.9005	21.6944	22.0695	21.5359	22.0935	21.8992	21.6346	21.7877	21.5763	22.0106	22.2938	21.4425
PROT_0124	23.2835	23.1351	23.1644	23.284	23.3452	23.6034	23.4157	23.4138	23.5475	23.5172	23.4578	23.2574
PROT_0125	23.213	23.1252	23.0299	23.3914	23.3792	23.4012	23.4356	23.4479	23.6591	23.3126	23.3203	23.3713
PROT_0126	21.4316	21.4791		21.5107	22.0155	21.7109	21.7206	21.4626		21.3564	21.6066	21.295
PROT_0127	25.2289	25.2302	25.4443	25.4782	25.5797	25.2608	25.3575	25.5068	25.357	25.1141	25.2468	24.9857
PROT_0128	23.7121	23.3003	23.8131	23.7129	23.7549	24.1271	23.8141	23.9268	23.6497	23.5177	23.7968	23.4899
PROT_0129	24.9348	24.7128	24.6854	24.7834	24.9026	24.9151	24.6525	24.8054	24.7262	24.204	24.6132	24.5093
PROT_0130	25.239	25.2227	24.8985	24.9459	25.622	25.1809	25.4641	25.5551	25.355	25.122	25.3226	25.1978
PROT_0131	25.7747	25.9085	25.9178	26.0979	25.6429		25.9278	25.7756	25.783	25.3692	25.6391	25.7223
PROT_0132	22.3466	22.8398	22.5321	22.5662	22.3799	22.4567	22.671	22.1646	22.6829	22.1252	22.2438	
PROT_0133	26.1778	26.1676	26.376	26.1122	26.1904	26.6386	26.3032	26.3054	26.2684	26.0547	26.2707	26.1795
PROT_0134	29.0346	29.0447	28.9798	28.9903	28.9556	28.9908	28.8508	28.7907	29.003	28.7672	28.7797	28.851
PROT_0135	23.9352	24.3716	24.206	24.4049	23.7262	24.1039	24.1541	23.6972	23.9147	23.7379	24.0471	23.7036
PROT_0136	22.333	22.1419	22.2505	22.3157	22.4559	22.6094	22.6588	22.2633	22.4048	22.0312	22.112	22.6102
PROT_0137	17.4197		17.9341								18.1549	
PROT_0138	18.6969		17.7685	18.9067	18.8441		18.3958		17.9891			18.3516
PROT_0139	23.2863	23.8884	23.336	23.8996	23.9369	24.0079	23.9989	23.8761	23.26	22.9515	22.8313	23.2723
PROT_0140	20.5875	20.3606	20.9526	21.0815	21.122	20.6079	20.5562	21.203	21.7425			21.0156
PROT_0141	24.3319	24.073	24.4315	23.9609	23.6988	23.7655	23.8357	23.6683	24.5022	24.0929	24.07	24.1456
PROT_0142	25.4578	25.745	25.6353	25.7971	25.8158	25.7091	25.6255	25.5748	25.8848	25.8563	25.4643	25.6663
PROT_0143	23.9255	23.852	23.8884	23.5111	23.7162	23.9696	23.4281	23.8693	23.7552	23.7199	23.8449	23.7664
PROT_0144		19.6092	19.4992	19.7995	20.0226	20.3811	20.6654	19.8207	19.4456	20.3408	19.7704	20.0669
PROT_0145			18.7651	19.6842	19.1715	19.2587				18.5414	18.9383	
PROT_0146		20.5984		20.9532	20.3252	20.7588	21.3453	20.3793	20.7616	20.1504	20.1362	20.8348
PROT_0147	25.3315	25.4106	25.0001	25.0497	25.3114	25.2357	25.4007	24.9231	25.369		24.9192	25.3479
PROT_0148	24.6931	24.795	24.7734	24.8034	24.6966	25.0056	24.4897	24.5809	24.3922	24.8587	24.5788	24.6356
PROT_0149	22.7749	22.933	23.0606	23.0211	23.0483	23.1372	23.077	23.0583	22.8861	22.958	23.1216	23.0802
PROT_0150	22.6904	22.6312	22.9068	23.0786	23.1268	22.7847	22.6704		23.1321	22.834	22.481	22.9322
PROT_0151	25.8074	25.7727	25.7406	25.9836	26.0179	25.5908	25.6112	25.8497	26.0663	26.0212	25.8972	26.0321
PROT_0152	21.8691	22.1967	22.5612	22.09	21.9925	21.6925	21.7972	22.3017	22.5922	22.541	22.3271	22.6456
PROT_0153	26.716	26.4654	26.8136	26.6923	26.6087	26.8057	26.5899	26.4759	26.773	26.6578	26.5923	26.473
PROT_0154	23.8179	23.6432	23.9325	23.3243	23.8845	23.8088	23.8042	23.1674	23.5636	23.6007	23.7036	23.8254
PROT_0155	22.1376	22.4097	22.4669	22.492	22.9465	22.5806	22.5367	22.0521	22.7474	22.2045	22.3197	21.9709
PROT_0156	22.0023	22.0123	21.6792	22.2259	21.5548	22.1482	22.2162	21.7253	21.7171	21.6908	21.9255	22.1693
PROT_0157	24.774	24.7077	24.546	24.6477	24.5845	24.4195	24.6887	24.5706	24.5107	24.0187	24.2544	24.2914
PROT_0158	24.9133	24.9495	24.6717	24.8454	24.7817	24.6246	24.7892	24.3008	24.9167	24.8288	24.8897	24.6575
PROT_0159	20.0499	19.7203	19.8765	20.1287	20.4567	20.4811	20.1735	20.1265	20.6046		20.0951	20.1081
PROT_0160	26.3916	26.3776	26.6066	26.4793	26.6243	26.663	26.4948	26.033	26.7028	26.2409	26.4161	26.2751
PROT_0161	17.8523	18.5763								18.23		
PROT_0162	23.7768	23.371	23.751	23.2755	23.4279	23.4772	23.4978	23.2005	23.5527	23.2096	23.3233	23.4565
PROT_0163	27.2836	27.3157	27.2795	27.2651	27.034	27.3526	27.1199	27.0887	27.3495	27.1551	27.3195	27.0289
PROT_0164	18.6177		18.302			19.1124						
PROT_0165	22.4968	22.6962	22.8407	22.8707	23.1325	22.8941	22.5101	22.5431	22.6166	22.7142	23.0883	22.3426
PROT_0166	23.109	22.7223	22.7079	23.3055		22.988	23.2599	22.9594	23.3391	23.1768	23.158	23.0756
PROT_0167								17.019			18.1028	17.9109
PROT_0168	23.7754	24.1206	23.8166	23.6774	24.112	24.1302	23.7628	23.9722	23.7473	23.7182		23.8566
PROT_0169	22.9119	22.602	23.1039	22.7233	23.1813	22.9067	23.0364	23.3008	23.027	23.1694	23.3261	23.3844
PROT_0170	20.1541	20.8877	20.5781	20.9908	20.3485		19.5215	19.3056	19.9884	19.5277	20.1166	
PROT_0171	24.6735	24.6197	24.4306	24.6673	24.9738	25.1399	25.1759	25.0092	24.7744	25.0623	25.1061	24.6861
PROT_0172											17.8537	
PROT_0173			17.4295			18.7755		17.1875				
PROT_0174	26.0973	25.9785	25.9598	26.0697	26.307	25.7061	25.9476	25.7836	26.1106	25.9747	25.8241	25.8293
PROT_0175	23.9423	23.9582	24.1207	24.2182	24.0032	23.9229	24.0145	24.4823	24.1278	23.8948	24.121	24.3328
PROT_0176	20.1923	20.5493	20.4302	20.0133	20.8797	20.932	20.6044	20.0733	20.6197		20.6627	19.8013
PROT_0177	20.408	20.9671	20.0969	20.935	20.4222	20.298	20.6134	21.1835	21.0899	20.9497	21.2097	20.568
PROT_0178				18.4011	17.9473		18.0769					
PROT_0179	20.243		19.4154	20.3224	20.3199	20.3373	20.0712	19.3644		20.0249		19.8846
PROT_0180	19.2253	19.8237	20.0431	19.6514	19.7939	20.1761			19.8593	19.8399	20.0149	19.796
PROT_0181	24.1104	24.2834	24.0606	24.0435	24.5059	24.4011	24.2929	24.2325	24.1948	24.2182	24.5874	24.2352
PROT_0182	21.9575	21.7311	21.5081	21.8299	21.6312	22.0514	21.5649	21.9555	21.8509	21.8206	22.0909	21.7366
PROT_0183	21.6206	21.063	21.1491	21.5468	22.0969	21.7195	21.8587	21.904	21.487	20.8865	21.4651	21.4108
PROT_0184	24.6665	25.098	24.8783	24.9387	24.7103	24.6196	24.8674	24.6243	24.9888	24.6673	24.7828	25.0513
PROT_0185	23.5701	23.7509	23.7767	23.5905		23.7779	23.6288	23.8092	23.6273	23.7583	23.6258	23.708
PROT_0186	25.4857	25.5895	25.5336	25.4714	25.6293	25.6738	25.8292	25.7764	25.4265	25.4266	25.7307	25.5906
PROT_0187	18.2672		18.8876			19.4072		19.229	19.0046			18.4328
PROT_0188	26.6074	26.4646	26.2521	26.5996	26.4358	26.4075	26.2665	26.451	26.6089	26.0367	26.5571	26.5217
PROT_0189	24.0499	24.0002	23.903	23.7886	23.5966	23.7658	23.8321	23.856	23.8134	23.6482	24.109	23.4783
PROT_0190	21.4445	21.9255	21.9074	21.5501	22.9377	22.4772	22.9976		21.2788	21.6893	22.0539	21.6142
PROT_0191	25.0031	25.1216	25.1152	25.0907	25.3098	25.1603	25.2897	25.3565	25.1347	25.1268	25.1947	24.7683
PROT_0192	27.8199	27.5452	27.7811	27.7149	27.7301	27.9252	27.9101	27.7999	27.8304	27.5274	27.6888	27.7775
PROT_0193	22.6417	21.5167	22.1184	22.3264	22.277	22.5426	22.6055	22.4855	22.3524	22.6093	22.3183	22.1863
PROT_0194	22.4857	22.8133	22.2431	22.662		22.6504	22.1968	22.0712	22.5585	22.7438	22.2008	22.9223
PROT_0195			21.9379	21.6439	21.6762	22.4409	22.2854	22.3353	22.4167	21.5341	21.9494	21.9757
PROT_0196	16.9049						17.8135		19.1623			
PROT_0197	26.0708	26.2005	26.6135	26.0896	26.2456	26.3879	26.312	26.1018	26.1476	26.0964	26.1235	26.1647
PROT_0198	24.1285	24.5754	24.4112	24.3298	24.2936	24.2003	24.252	24.2318	24.2323	24.2709	24.2653	24.3504
PROT_0199	24.1129	24.4461	24.3153	24.007	23.7256	24.18	24.2934	24.1841	24.2915	24.4466	24.3287	24.2472
PROT_0200	24.6458	24.5791	24.9844	24.903	24.7428	24.8001	24.6582	24.8586	24.666	24.5951	24.6597	24.4717
PROT_0201	21.508	21.3081	21.5851	22.0581	21.8091	21.5241	21.8247		21.9801	21.7995	22.47	21.7511
PROT_0202	28.4061	28.4882	28.7304	28.6574	28.8702	28.5695	28.5794	28.4708	28.7419	28.6679	28.6077	28.6332
PROT_0203	23.6333	23.5592	23.7649	23.8183	23.1286	23.4938	23.3787	23.2346	23.4771	23.2705	23.279	23.6035
PROT_0204	22.3849	21.6908	22.3857	22.3305	22.4119	22.2287	21.7669	22.1852	22.6521	22.1617	22.4813	22.4965
PROT_0205	19.7355			20.3495	19.8809		19.2842	19.1653	19.963	19.8368	19.8368	19.8697
PROT_0206	29.7537	29.824	29.8601	29.8245	30.1467	29.9802	29.8156	29.7961	29.9583	30.0464	30.1269	29.9941
PROT_0207	25.2124	24.7216	24.9886	25.0489	25.1842	24.8501	24.7717	24.9141	25.0977	24.6959	25.1597	24.9817
PROT_0208	25.3279	25.433	25.4689	25.507	25.5393	25.5422	25.7145	25.2135	25.5504	25.2897	25.5991	25.5115
PROT_0209	24.0275	24.0699		23.736	23.9221	24.2336	23.8697	23.2782	24.0252	24.2544	23.7566	24.1027
PROT_0210	19.496	19.8912		19.5162	20.27		19.1687	19.5167	19.9968			19.0545
PROT_0211	25.0236	25.4585	25.5188	25.3333	25.7531	25.2657	25.3102	25.5553	25.2991	25.3436	25.4528	25.2057
PROT_0212	22.2398	22.159	22.3517	22.2418	21.8296	21.7842	21.7646	21.5451	22.1785	21.5158	21.6005	21.9531
PROT_0213	21.5461	21.3388	20.8078	21.4639	21.128	21.167	20.6735	21.2154	21.4874	20.7442	21.1093	21.2473
PROT_0214	26.9238	26.5978	26.8627	26.8708	26.5862	26.4908	26.6824	26.3549	26.9459	26.8085	26.5467	26.7428
PROT_0215	22.5068	22.5356	22.5409	22.2462	22.5038	22.7725	22.4293	22.2711	23.6208	23.6963	23.738	23.5389
PROT_0216	21.3329		21.7479	21.1319	21.7486	21.6659	21.8483	20.9386	22.1715	21.5916	21.7083	
PROT_0217	18.1253		18.2637	19.635	18.7921	19.1299		18.5771	18.7594	17.8494		19.0857
PROT_0218	19.2486	19.4253	18.9262		19.3707		18.3738	19.467	19.1214	19.9185	19.2711	19.0422
PROT_0219	23.0874	23.1033	23.3492	23.2324	23.484	23.2888	22.9884	23.3782	23.5226	23.0615	23.4287	23.1858
PROT_0220	24.0285	23.7795	23.7914	23.891	23.602	23.821	23.7293	23.6093	23.8834	23.5166	23.6865	23.722
PROT_0221	24.1952	24.1231	24.285	24.0862	23.9084	24.0057	23.9143	24.1463	24.3736	24.1807	24.249	23.8608
PROT_0222	21.3195	21.1439	20.7981	20.8323	21.3806	21.6907	21.1912	21.639	21.5659	21.5131	22.0114	21.1495
PROT_0223	21.5573	21.3417	21.6381		21.763	21.5435	21.8224	21.2106	21.778	21.8509	21.6699	21.7884
PROT_0224	24.6974	24.7664	24.6522	24.6125	24.7161	24.945	24.8598	24.5286	24.7429	24.4691	24.8758	24.6977
PROT_0225	20.2289	20.1819	19.5119	19.8192	20.6375			20.5632	20.2024	19.8641	20.0121	
PROT_0226				18.0208		19.1541		18.2424		18.2615	18.7723	
PROT_0227	23.4711	23.523	23.6441	23.4179	23.9331	23.1369	23.4638	23.2649	23.3039	23.0163	23.2887	23.2467
PROT_0228	24.13	24.3887	24.2011	24.3315	24.2193	24.371	23.9334	24.2043	24.3057	24.0001	24.3524	24.1458
PROT_0229	20.5065		19.4309	18.7272	19.4121		19.8063		19.008	19.8292		18.8274
PROT_0230	28.036	28.0332	28.1241	27.941	28.0855	28.4029	27.8235	27.8594	28.1309	27.941	28.0992	
