protein_id	WT1_t1	WT1_t2	HetEd1_t1	HetEd1_t2	HomEd1_t1	HomEd1_t2	HetRev1_t1	HetRev1_t2	HomRev1_t1	HomRev1_t2	WT2_t1	WT2_t2	HetEd2_t1	HetEd2_t2	HomEd2_t1	HomEd2_t2	HetRev2_t1	HetRev2_t2	HomRev2_t1	HomRev2_t2	WT3_t1	WT3_t2	HetEd3_t1	HetEd3_t2	HomEd3_t1	HomEd3_t2	HetRev3_t1	HetRev3_t2	HomRev3_t1	HomRev3_t2
PROT_0010	27.377	27.1935	27.338	27.0649	27.2213	27.2712	27.3253	27.1213	27.4905	27.4184	27.0067	27.3066	27.4148	27.1265	26.7206		27.0117	27.3425	27.3459	27.28	27.486	27.565	27.0093	27.184	27.2486	27.2454	27.3297	27.2709	27.3148	27.2463
PROT_0011												15.9394																		
PROT_0012	22.5431	22.4331	22.6877	22.8405	22.8966	22.6892	23.0382	22.9071	22.8681	22.7417	22.8782	22.238	22.7652	22.8048	22.4642	22.8288	22.4509	22.8002	22.787	23.1252	22.678	22.9828	23.4394		23.1805	23.5908	22.6752	22.6089	23.1322	22.8161
PROT_0013	21.1459	21.2136		20.6397	20.7351	21.3078	20.9521	20.8345	21.0535	21.3961	20.9279	21.4223	20.9953	21.2012	20.8891	20.9523	20.7673	20.7534	20.458	21.4375	20.9326	21.4356	21.0663	21.3506	21.0809	21.4121	21.2466	21.1259	20.7201	20.6471
PROT_0014	23.5651	23.8768	23.7203	23.257		23.2805	23.6832	23.7623	23.3643	23.6259	23.3049		23.2766	23.4984	23.5317	23.5396	23.5908	23.9083	23.9773	23.6957	23.7716	23.9897	23.3161	23.4381	23.9862	23.8914	23.5777	23.4762	23.6089	23.4673
PROT_0015	22.0833	22.0454	21.7468		21.4887	21.4242	21.7627	21.9912	21.778	21.7975	21.5881	22.026	21.8275	21.7518	21.5749	22.0123	21.2387	21.8731	20.7682		22.0416		21.9596	21.923	21.6413	21.8057	21.6707	21.837	21.6177	21.6764
PROT_0016	22.2229	23.0543	23.1	22.4207	22.9325	22.6827	22.5208	23.0186	22.8131	22.1917	22.5282	22.4715	22.4288	22.4779	22.7097	22.3539	22.7336	22.6568	22.5539	23.0269	22.6098	22.7804	22.651	22.7752	22.5265	22.5589	22.4513	22.4817	22.4855	
PROT_0017	24.0808	24.0373	24.0596	24.1571	24.0333	23.8026	23.8198	23.9308	23.6488	24.1697	24.0399	24.0351	23.6387	23.8308	23.5392	23.9376	24.2669	23.6872	23.9979	24.0605	23.4405	24.1192	23.5367	24.0811	23.8147	24.0823	23.7133	24.0187	23.9369	24.3207
PROT_0018	23.776	23.5681	23.2818	23.2096	23.7982	23.9451	23.1169	23.6445	23.275	23.4431	23.2908	23.1632	23.5325	23.5514	23.4894	23.6632	23.4888	23.5476	23.4496	23.4478	23.3992	23.5237	23.1562	23.9217	23.6072	23.7732	23.4595	23.5945	23.6766	23.0821
PROT_0019	24.8431	24.872	24.719	24.2715	25.1116	24.7596	24.6918	24.7903	24.7773	24.8295	24.8605	24.6782	24.9535	24.7589	24.9377	24.8655	24.8423	24.5004	24.5205	24.7617	24.792	24.5969	24.3295	24.8218	24.6875	24.6446	24.8982	24.9251	24.8816	25.2015
PROT_0020	21.6646	21.8334	22.1306	21.1393	21.7317	21.9149	21.4556	21.7115		21.752	22.5056	22.3115	21.7966	22.0467	21.7286	22.1531	21.4274	21.7611	21.6939		21.7455		21.7212	21.4615	21.918	21.7796	21.4812	21.8631	21.7198	22.0528
PROT_0021		20.3785		21.046	20.2248	21.1585	20.6251	20.3272	20.4729	20.861	20.6284	20.7692	21.021	20.5568	21.298	20.2574		21.0879	20.9469	20.7964	20.6994	20.6536	20.4867	20.8066	21.4458	21.5739			20.3898	20.71
PROT_0022			19.4366	19.0018	18.5224	18.6681	18.446	18.6324		19.0368	18.8905		18.7853			18.0176			18.1878		18.8509	18.6979		18.7925		19.1717			18.5379	19.5399
PROT_0023		21.8714	22.3438	22.4935	22.6458	22.7534	22.4391	22.5435	22.5133	22.8165	23.1304	22.219	22.465	22.6306	22.1652	22.3645	23.9147	23.7298	22.2511	22.7882	22.8303	22.4733	22.9062	22.8834	22.4261	22.9718	22.276	22.6878	22.7946	22.6357
PROT_0024	22.4639	22.1164	22.0251	22.5883	22.8412	22.1716	22.5307	22.6499	23.1602	22.7974	22.4174	22.5965	22.6051	22.268	21.9637	22.2843	22.4371	22.1621	22.3685	22.3022	22.0239	22.4881	22.0474	22.2042	22.7153	21.95	22.3605	22.1936	22.1014	22.2817
PROT_0025	21.8584	21.9968	21.6768	22.2391	22.4973	22.4541	21.8015	22.3177	21.8462	21.6471	22.4393	21.7917	22.3174	22.0043	22.2028	22.5645	21.8971	22.4617	21.902	22.3286	21.8004	22.0322	22.01	22.0833	22.333		22.1668	22.0952	22.2496	22.2732
PROT_0026	23.8288	23.9104	23.6482	24.2376	24.581	23.7794	24.0065	24.5922	23.7431	23.8054	23.8531	23.8474	24.1141	23.887	23.5766	23.8453	23.772	23.7305	23.9234	23.8421	23.493	23.7913	24.0647	24.1806	24.1169	24.4051	23.798	23.8302	24.5719	23.8722
PROT_0027		20.6491	20.4342		20.6102		20.1774	20.4732	20.8775	20.3393	20.5963	20.4418		20.4345	20.0026	20.703	20.8069	21.2637	20.6203	21.1194	21.1115	20.5378	20.2209	20.8708	20.0586	20.6226	20.3883	21.2513	20.6597	21.109
PROT_0028	22.1545	22.1701	22.0125	21.7115	21.9782	22.2699	22.0647	22.3423	21.6833	22.0472	22.0425	21.6305	22.6216	22.2024	22.0163	21.9894	21.9372	21.933	22.0843	22.0662	21.6678	21.4487	21.9329	22.2843	21.3529	22.0465	21.7686	21.5209	21.6072	22.3528
PROT_0029	25.2842	25.3156	25.0741	25.2024	25.5531		25.4364	25.3834	25.1209	25.5867	25.1939	25.6056	25.5153	25.3714	25.3358	25.5846	25.0236	25.4014	25.1924	25.1843	25.5371	25.702	25.4973	25.2238	25.4348	25.488	25.6388	25.7445	25.4183	25.3977
PROT_0030	20.7522	20.3042	21.1763	20.3397	20.4483	20.5822	20.8044	20.3648	20.7497	20.1949	20.083	20.6801	20.6656	20.2931	21.0584	20.0004	20.1939	21.3989	20.9367	20.645	20.6749	20.794	20.732	19.6745	21.2741	20.8834		19.9952	20.3664	21.0262
PROT_0031	21.4937	21.2572	22.0523	21.3697	21.5786	21.6446	21.2268	21.8625	21.5086	21.5838	21.904	21.6623	21.2058	21.7485	21.4423	21.3771	21.8191	22.0734	21.8775	22.087	21.683	21.0863	21.722	21.9387	22.0067	22.1718	21.6666	21.5172	21.0603	21.8116
PROT_0032	25.9385	26.1368	26.0905	25.8886	26.2649	26.028	25.9092	26.0853	26.1204	25.9561	26.0052	26.0018	26.0442	26.0862	25.9333	25.9632	26.0755	26.3441	25.6224	26.2306	26.0711	25.9831	26.2193	26.1313	26.087	26.2408	26.1733	26.108	26.0894	26.2938
PROT_0033	27.5949	27.364	27.8786	27.7508	27.982	27.8271	27.6578	27.8623	27.8897	27.4724	27.5676	27.8534	27.7266	27.315	28.0013	27.8401	27.4492	27.8455	27.8678	27.5995	27.9334	27.7271	27.636	27.8285	27.7491	28.1027	27.7681	27.5731	27.9065	27.7276
PROT_0034														17.8074						17.2136		19.2166								
PROT_0035		20.1143		19.5278	18.8165	19.5901	19.8694					18.8998	19.8579	19.8294	19.4078		19.4376		19.8063	19.5677	19.5287	19.3587	19.8474	19.5336	19.5319	19.6621		19.3297	20.1528	19.29
PROT_0036	22.6267	22.8133	23.1653	22.7143	23.3263		22.6729	23.4361	23.0838	22.8711	22.9057	23.0646	23.071	22.8335	23.0633	22.9009	23.1816	23.221	22.8724	22.8863	23.1638	22.8942	22.4547	23.3722		23.0793	23.0321	22.5855	22.9384	23.1472
PROT_0037	22.8543	23.3595	23.3466	22.9169	22.9296	23.247	23.0759	23.4138	22.6184	22.7958	23.2659	23.0728	23.2932	23.3666	23.1681	23.0445	22.9978	23.3095	22.7154	23.1953	23.3529	22.9733	23.2105	22.9626	22.9911	23.3895	23.2849	23.132	22.8756	23.4932
PROT_0038	22.774	22.4959	22.6693	22.5852	22.1946	22.5031	22.5243	22.8216	22.7274	22.724	22.8461	22.8852	23.0441	22.6189	22.1806	22.9859	22.8607	22.7098	22.5718	23.1819	22.5199	22.4438	22.1784	22.7954	22.9474	22.8747	22.7858	22.8076	23.1114	22.349
PROT_0039	22.9286	22.9285	22.0658	22.0501	21.473	21.6887	22.1486	22.1012		22.6896	22.8216	22.7085	22.0656	21.8848	21.3284		22.2727	22.1988	22.4477	22.7157	23.2949	22.5788	22.6964	22.5248	21.4934	21.7456	22.3038		23.0289	22.9821
PROT_0040			17.8828			17.5271															17.1321						16.6739			
PROT_0041	20.7813		21.4299	21.5714	21.5238	21.1429	21.6153	21.4498		21.1943	21.2425	22.0438	21.0071	21.3885	21.8593	21.621	21.9396	21.6437	21.0292	21.5333	21.188	21.6253	20.9223	21.5456	21.3505	21.3589	21.4181	21.4162	21.2056	21.7618
PROT_0042	26.9478	26.9073	25.4652	25.4292	22.8398	22.6782	25.729	25.2697	26.9879	26.6858	26.7887	27.0012	25.7213	25.3361	22.7652	22.4784	25.273	25.705	26.7332	26.8292	27.0735	27.0456	25.3233	25.5741	22.69	22.6141	25.5585	25.6392	27.1014	27.4787
PROT_0043	20.8411	20.5025	21.1986	21.1778	20.4277	21.3003	20.0655	20.7443	20.6742	21.1012	20.3779	20.9124	21.0737	20.1952	20.6314	20.6683	19.9813	20.6117	20.5001		21.0773	21.0945	21.1711	21.243	20.8848			20.8885	21.2567	21.2217
PROT_0044	24.8813	24.2022	25.1671	25.1336	24.8686	24.9964	24.866	24.9523	25.3393	24.9924	24.8112	24.7944	25.1931	24.6186	24.9383		24.7705	25.2144	25.3365	25.1053	25.2204	25.2158		24.8229	25.1175	24.8493	25.1523	24.9777	24.6465	25.09
PROT_0045	21.9953	21.554	21.9382	21.7877	22.1243	21.8206	21.7672	21.6096	22.306	22.0605	21.6308		22.2778	22.5093	21.7495		21.2474	22.1164	21.1551	21.1302	21.7174	21.7539	22.1806	21.5171	21.0864	21.7154	21.575	21.801	21.9239	21.8986
PROT_0046	23.733	23.5397	23.4343	23.2832	23.7082	23.6039	23.6523	23.8644	23.2392	23.1036	24.3461	24.1934	23.6122	23.5128	23.4398	23.4243	23.5501	23.6079	23.3278	23.7516	23.8075	23.7051	23.2248	23.3048	23.5619	23.6184	23.4258	23.724	23.812	23.3357
PROT_0047	20.7914	21.5369	21.0583		21.7614	21.2307	20.5168	21.4245	21.0223	21.1171	21.4064		21.2107	21.0488	20.9032	20.6702	21.432	21.1487	21.1202	21.5883	20.5935	20.7381	21.4383	21.1811	20.7567	21.6409	20.8017	20.7779	21.5981	21.7525
PROT_0048	25.6509	25.8321	25.3632	25.4381	25.5501	25.4837	25.2827	25.6895	25.673	25.5674		25.4773	25.6872	25.4467	25.4848	25.4375	25.5111	25.8725	25.3223	25.2576	25.5536	25.5607	25.5358	25.8984	25.4172	25.6396	25.5354	25.5052	25.2618	25.5111
PROT_0049									18.3586	16.9425						16.4387	19.0316													
PROT_0050	24.3351	24.3778	24.7552	24.3205	24.5945	24.5888	24.5457	24.3218	24.4737	24.0125	24.2726	24.2891	24.0348	24.1618	24.3943	24.4762	24.5672	24.2866	24.5627	24.296	24.6019	24.3315	24.4476	24.5216	24.2628	24.535	24.4516	24.6219	24.491	24.2461
PROT_0051	21.5776		21.5835	21.142	22.439	21.7419	21.4915	21.6906	21.6415	22.1876	21.7434	21.5977	21.3616	21.4297	21.0031	21.8959	21.3308	21.1118	20.9503	21.4354	20.9212	21.5209	21.062	21.2255	21.1848		21.0714	21.065	21.7612	20.9157
PROT_0052	21.4484	21.6588	22.1215	21.7343	22.0074	21.9663	21.6193	21.5583	22.0113	22.1936	21.5667	21.4594	21.6918	22.3734	21.546	21.671	22.1586	22.3079	21.5446	22.0173	21.7616	21.5699	21.4271		21.174	21.1976	21.5929	21.5372	21.516	21.7575
PROT_0053	26.0037	26.1935	26.5336	26.919	27.7894	27.3874	26.9065	26.8226	26.3788	26.0472	25.9017	25.9355	26.794	26.8941	27.5852	27.2515	26.7247	26.6523	26.1411	25.8313	25.963	26.1156	26.7937	26.6988	27.2272	27.3873	26.8665	26.7673	25.876	26.2291
PROT_0054	20.5641	20.6122		21.1515	21.258	20.6935	20.6931	20.4745	20.7903		20.543		20.5469	20.6688	20.654	21.2705	20.8131	20.8598	20.8142	21.382		20.6857	20.9649	21.195	21.0709	21.4413	20.6688	20.4571	21.0814	20.5457
PROT_0055	25.125	25.1726	25.3103	25.1183	25.2515	25.174	25.0681	24.8701	25.0884	25.1595	25.1181	25.1223	25.1545	25.2827	24.9057	25.0571	24.9174	25.0662	25.0559	25.3884	25.3272	25.0358	24.9294	25.207	25.3083	25.1372	25.333	25.1872	25.5608	25.4848
PROT_0056	20.5705	20.6911		21.2787	21.0494	21.1549	20.6632	20.9652	20.723	20.8936	20.6707	20.6814	21.4557	20.3815	20.1593	21.2961	20.5408	20.751	21.4201	20.8459	20.6044	20.7225	20.6769	20.2462	20.8789	20.6099	20.5659	21.3663		20.8114
PROT_0057	24.8009	25.0848	24.865	24.8662	25.0724	25.1879	25.307	25.1216	25.0174	25.034	25.4894	25.1864	25.268	25.4606	24.8678	24.8357	25.2918	25.3256	25.4999	25.5661	25.2812	24.8999	25.249	25.3433	25.2261	25.6523	25.0439	24.9825	25.3416	25.4513
PROT_0058	24.5312	24.2379	24.3813	24.7479	24.5449	24.7734	24.5847	24.6584	24.1806	24.3953	24.1456	24.4508	24.985	24.3226	25.0877	25.1892	24.3156	24.3854	24.0327	24.1891	24.2593	24.3587		24.6357	25.1307	25.1171	24.294	24.4269	24.2084	24.2051
PROT_0059	23.4111	23.6968	23.4663	23.6117	23.786	23.8442	23.549	23.7518	24.0716	23.6442	23.6784	23.3652	23.9099	23.7703	23.4589	23.6228	23.8416	23.4604	23.7068	23.6623	23.4078	23.3728	23.6522	23.5366	23.5618	23.9979	23.9839	23.2839	23.6796	23.3386
PROT_0060	22.8352	22.8201	23.2099	22.6868	22.9036	23.0444	23.0525	23.1387	23.1045	22.8824	23.5879	23.4439	23.3025	22.7898	23.4066	22.5455	23.0229	23.0827	22.7323	23.2294	23.0685	22.9336	22.9418	23.1238	22.7954	23.2884	23.3798	22.9477		23.0041
PROT_0061	24.724	24.4979	24.7928	24.2907	25.002	24.2166	24.2164	24.6759	24.6787	24.6519	24.6114	24.6332	24.249	24.3992	24.1201	24.4032	24.8598	24.5835	24.5289	24.8947	24.7325	24.7527	24.2935	24.6771	24.4586	24.8427	24.2926	24.3111	24.2484	24.4728
PROT_0062	25.6843	25.108	25.1354	25.2351	25.5243	25.4061	25.4806	25.4768	25.2069	25.3672	25.1857	24.9675	25.539	25.0991	25.1197	25.438	25.2969	24.8784	25.0757	25.2258	25.0828	25.3204	25.1119	25.0174	25.4344	25.3034	25.1356	25.5122	24.9299	24.8087
PROT_0063	22.8761	22.2535	23.1805	23.0321	23.9936	23.6631	23.108	23.3608	22.6064	22.7391	22.9524	23.0417	23.1314	23.1487	23.3104	23.6162	23.2073	23.2922	22.8764	22.7819	22.997	22.2447	23.2439	23.0088	23.4663	24.518	23.0811	22.9268	22.8635	23.4819
PROT_0064	25.2608	25.0681	25.0715	25.2805		25.1178	24.9657	24.5376	25.3551	24.9876	24.762	24.7579	25.0391	24.9407	25.1018	25.1021		25.3868	24.9153	25.0801	25.2795	25.0383	24.9379	24.9214	25.2882	25.2417	24.9261	25.0533	24.9359	24.9698
PROT_0065	19.8755	19.9153		19.852		20.3391	19.9112	20.3317	20.5198			19.9296	20.0893	20.6249	19.8302	20.0076	19.6738		20.2839	19.7488	20.2523	19.962	19.7094	20.5437	20.2794		19.3547		19.5861	19.9354
PROT_0066	20.6501	20.465	21.1019	20.6139		20.9332	21.0579	21.1352	21.0475		20.674	20.6175	21.0233	21.3312			20.9196	20.5781	21.1301	20.6842	20.6482	20.8227	20.6928	20.6172	21.3548	20.5568	20.8047	20.7222	20.7297	21.1113
PROT_0067	23.7844	23.1765	23.0539	23.5685	22.6069	22.7308	23.5908	23.1371	23.4561	23.3647	23.1644	23.4474	23.1262			22.4984	23.2811	23.3866	23.9869	23.4773	23.4614	24.0476	23.2524	23.2021	22.9928	22.7922	23.5009	23.3072	23.2783	23.0405
PROT_0068	28.351	28.1571	28.2633	28.3182	28.4645	28.5688	28.3777	28.4005	28.0291	28.3695	27.7775	28.1709	28.4791	28.155	28.2569	28.4641	28.2439	28.5896	28.6701	28.4791	28.1686	28.0182	28.2128	28.4356	28.4689		28.4425	28.2836	27.9195	28.4448
PROT_0069	21.2436	20.844		21.5811	21.6577	21.8135	21.1056	21.4844	21.8608	21.6577	21.4012	21.4224	21.684		21.4928	21.555	21.4789	21.436	21.4634	21.2932	21.7147	21.2324	21.2957	21.3574	21.689	21.5964	21.6267	21.2626	21.3218	21.5447
PROT_0070	22.9323	23.0122	22.9475	22.8387	23.0315	23.1843	23.0363	23.0336	22.9422	22.5396	22.9819	23.0775	23.0153	23.1282	23.1071	22.7988	23.0864	23.11	23.029	23.1317	23.3132	22.5882	23.0447	22.8555	23.2823	23.1843	22.5681	23.1118	23.1024	23.085
PROT_0071	21.0533	21.1912	20.7307	21.0303	21.3279	21.3056	21.2318	21.1346	21.1202	21.1678		21.3879		21.2241	21.0377	21.1742	21.3837	21.5634	21.0516	21.4485	20.9562					21.1966	21.6404	20.6495	21.0898	20.955
PROT_0072	19.1135		18.695	18.8268	18.7208		19.1924		19.0776	19.0866	19.3028	19.1548	19.1124	18.9089				18.5485		19.0393	18.7211	18.5671	19.1927	18.5689	19.3741	18.6926	19.7081			19.3558
PROT_0073	23.9024	23.4585	24.119	23.9819	24.3998	23.8428	23.9051	24.0478	23.8082	23.5933	23.3167	23.7981	23.5802	23.6588	23.6118	23.9163	24.2515	23.3632	23.6542	24.2288	23.498	24.0155	23.784	23.7108	23.6114	24.0391	23.7129	23.6208	24.3155	23.6057
PROT_0074	21.8993	22.2486	22.6506	21.8403		22.1276	22.034	22.0477	22.5249	21.9579	22.2736	22.0409	21.832	21.7265	22.2957	21.8447	22.2605	22.0284	21.7692	22.0902	22.284	21.8983	21.7715	22.1467	21.9352	22.2183	22.0684	21.5284	21.8849	22.4748
PROT_0075	23.9116	24.0143	23.8788	24.0525	24.5718	24.0718	23.8461	23.8494	24.2606	23.7971	24.2204	23.6775	23.9122	24.0785	24.3238	24.0901	23.9971	23.9089	24.331	23.5988	24.0358	23.9257	23.9674	23.8555	24.4111	24.2413	23.9187	23.6805	23.7145	24.0573
PROT_0076	19.8119	19.6836	20.1347	20.345		19.8307	19.6679		20.011		19.9496	20.0711		19.4153	19.7879		20.6702	19.4275	19.9665	20.0178	20.0416	19.9613	20.0561		20.0204	19.7979	20.5204	19.2988		20.1401
PROT_0077	21.8997	21.9205	22.5808	23.025	23.2352	22.8541	22.9112	23.1771	22.9565	23.0153	22.8485	23.0046	23.196	22.9552	22.4025	22.7356	23.1367	23.1094	23.2297	22.9888	22.359	23.0426	22.7194	22.9455	22.7713	22.9088	22.9767	22.9483	22.8349	22.7492
PROT_0078	23.5898	23.6215	23.7188	23.4518	24.2113	23.4398	23.8398	23.1152	23.3772	23.6076	23.3111	23.5343	23.8176	23.5973	23.3535	23.7687	23.3941	23.9268	23.6449	23.9312	23.5476	23.4172	23.2319	23.1594	23.766	23.6632	23.5172	24.0234	23.6312	23.8828
PROT_0079				16.8485																										
PROT_0080	25.018	25.3038	25.4613	25.1613	25.5064	25.4519	24.9967	24.8543	25.0692	24.6057	25.1114	25.0323	24.9578	25.1007	25.214	24.9054	25.417	25.308	24.9675	25.1466	25.0441	24.7711	24.9758	25.1617	24.9892	25.4886	24.9506	24.8424	25.2736	25.4342
PROT_0081	22.5799	23.0712	22.6027	22.2693	22.8409	22.8047	23.0245	23.4078	22.6131	22.6919	22.8862	22.9876	22.6141	22.7852	22.6322	23.0498	23.14	22.8939	23.1961	23.2164	22.6685	23.2711	23.0481	22.8447	22.8043	23.0682	23.022	22.6984	23.0342	22.6847
PROT_0082	23.1993	22.4993	23.3776	22.8483	23.1023	23.2532	23.2033	22.7472	23.2487	22.6446	23.0881	22.8976	23.7376	22.6634	22.9984	22.8572	22.6258	22.9912	23.1482	23.2331	23.2665	23.07	22.8306	23.0489	23.0189	23.0455	23.0163	22.7563	23.2613	23.2892
PROT_0083	22.1045	22.3234	22.1209	22.5322	22.5552	21.9827	22.2574	22.0704	22.1035	22.1919	22.6386	22.5061	21.994	22.5607	21.8328	22.2304	22.1595	22.7527	22.2768	22.5712	22.5894	22.1591	22.1852	22.0707	22.0624	22.1817	22.0276	22.2227	21.3999	21.7599
PROT_0084	21.4689	21.7448	21.7462		21.7504	21.1955	21.7541	21.6969	21.4202	21.9389	21.2044		21.8508	21.6381	21.8243	21.8421	21.6977	21.7716	21.7349	21.4653	22.1443	21.8302	21.0134	21.3418	21.9039	21.519		21.7852	21.94	22.0255
PROT_0085	23.7119	23.2817	23.28	23.4931	23.7462	23.7455	23.8001	23.446	23.444	23.5368	23.4941	23.8518	23.8782	23.3476	23.4644	23.1773	23.6535	23.6545	23.9844	23.7404	23.6371	23.6333	23.6888	23.7889	23.7606	23.6584	23.8336	23.5496	23.9422	23.836
PROT_0086	18.8716	18.3756	18.7876	18.2822	19.3091					18.3588	19.343	19.4612	18.1201			19.514		19.6104	18.287	18.2022			17.9517		18.3452			18.5883		19.0312
PROT_0087	23.773	23.4986	23.5381	23.387	23.6842	23.9642	23.4736	24.2023	23.8937	23.2238	23.4854	23.7091	23.6283	23.7018	23.6457	24.0592	23.8915	23.8076	23.6879	23.5942	23.3938	22.9512	23.991	24.0066	23.4713	23.9031	23.9767	23.7135	24.0782	24.0434
PROT_0088	23.5845	23.3775	23.2372	23.2871	23.3868	23.4414	23.1319	23.9755	23.4075	23.4542	23.3335	23.0653	23.4657	23.2852	23.3193	23.0687	23.2795	23.0125	23.172	23.6486	22.9926	23.7101	23.2046	23.354	23.5969	23.5174		23.5451	23.2523	23.4048
PROT_0089	23.0105	22.5583	22.5022	23.4101	23.5173	22.8659	23.0829	22.6966	22.7104	23.1502	22.601	22.7619	22.6676	22.8993	22.3878	22.6434		22.6822	22.5562	23.0639	22.8976	22.7404	22.7477	22.8065	23.3445	22.566	22.6739	22.9882	22.2896	22.7067
PROT_0090	24.0076	24.3504	24.1567	24.0861	24.1013	24.3075	23.9988	23.9949	23.9423	23.9431	24.0123	23.6915	24.1447	24.1251	23.7093	23.5088	24.3201	24.0154	23.822	23.9311	23.7917	23.6093	24.0657	23.6912	24.1542	24.2969	23.7461	23.653	24.1774	23.9958
PROT_0091	26.0508	26.6907	26.1448	26.0886	26.2723	25.7348	26.2042	26.6159	26.445	26.2241	26.4647	26.1679	26.408	26.6253	26.4946	26.3727	26.6308	26.527	26.0784	26.9017	26.0133	26.0086	26.3085	26.4495	26.3358	26.812	27.0905	27.0624	26.5669	26.2355
PROT_0092	23.3474	23.2821	23.7065	23.5129	23.564	23.7092	22.9437	23.0429	23.5975	23.3549	23.2652	23.556	23.5042	23.1158	23.2612	23.6453	23.252	23.4368	23.3272	22.5337	23.7589	23.103	23.4553	23.184	23.3309	23.4248	23.7411	23.118	23.2184	23.6726
PROT_0093		19.8346		19.7685	19.7567	19.8614	20.3941			19.1512	18.9703	19.9242		19.6847	18.9982			19.9084		19.1799	19.3588		19.6619		20.0		19.7696	19.5766	19.7687	19.8875
PROT_0094	20.6135	19.9779	20.5983	19.9887	21.2526	20.189	20.4012	20.6472	20.2828	20.2027	19.9835	19.6861	20.8891	20.4415	19.9435	19.6719	20.3841	20.2202	20.3028	20.4523	20.175	20.6054	20.3394	20.2039	20.88	20.2917	20.5309	20.4274	20.4126	20.0882
PROT_0095	20.7641	21.417	20.8884	20.5761	20.7989	21.0768	20.8125	21.2069	20.8679	21.1994	21.2906	20.9202	21.1826	21.3151	21.2913	20.6627	20.7626	20.3247	20.8184		20.5478	20.641	20.6756	20.8245	21.0393	20.9859	21.1585	20.8442	20.7978	21.1228
