protein_id	WT1_t1	WT1_t2	HetEd1_t1	HetEd1_t2	HomEd1_t1	HomEd1_t2	HetRev1_t1	HetRev1_t2	HomRev1_t1	HomRev1_t2	WT2_t1	WT2_t2	HetEd2_t1	HetEd2_t2	HomEd2_t1	HomEd2_t2	HetRev2_t1	HetRev2_t2	HomRev2_t1	HomRev2_t2	WT3_t1	WT3_t2	HetEd3_t1	HetEd3_t2	HomEd3_t1	HomEd3_t2	HetRev3_t1	HetRev3_t2	HomRev3_t1	HomRev3_t2	WT4_t1	WT4_t2	HetEd4_t1	HetEd4_t2	HomEd4_t1	HomEd4_t2	HetRev4_t1	HetRev4_t2	HomRev4_t1	HomRev4_t2	WT5_t1	WT5_t2	HetEd5_t1	HetEd5_t2	HomEd5_t1	HomEd5_t2	HetRev5_t1	HetRev5_t2	HomRev5_t1	HomRev5_t2
PROT_0016	22.6954	22.5233	22.3555	22.5579	22.2898	22.5646	23.0934	22.5439	22.2262	22.4626	22.3335	22.5836	22.8052	22.4401	22.4478	22.9605	22.1427	22.0819	22.5122	22.6728	22.626	23.0083	22.4388	22.1166	22.754	22.957	22.6668	22.5704	22.3058	22.4078	22.4448	22.4375	22.6768	22.6449	22.6988	22.419	22.8286	22.9889	22.3807	22.7364	22.423	22.7595	22.2519		22.7952	22.4826	22.9897	22.5877	22.7109	22.947
PROT_0017	23.9999	23.7248	23.893	24.0398	24.332	24.0737	24.264	24.0365	23.8074	23.7672	24.1205	24.0216	24.1315	23.9033	23.8836	23.7272	23.5491	24.0105	23.9997	23.8632	23.6947	23.8502	24.0127	23.6389	23.7734	23.617	23.6035	23.638	24.2408	23.5228	23.9979	23.6833	24.2007	23.8041		23.7368	23.4866	23.5967	24.2231	24.0043	23.9771	23.807	23.6298	23.8598	23.6979	23.854	23.6919	23.5639	23.8665	24.1556
PROT_0018	23.5408	23.1604	23.3549	23.7167	23.4735	23.9567	24.4189	24.5257	24.4021	24.4983	23.5585	23.4034	23.7826	23.2675	23.2828	23.6848	23.4676	23.5924	23.5114	23.6232	24.0998	23.5374	23.5421	23.4201		23.7502	23.3729	23.3935	23.6493	23.3547	23.9402	23.5154	23.544		23.1273	23.7444	23.2359	23.3501	23.4058	23.4466	23.5898	23.8537	23.2848	23.426	23.6333	23.4981	23.0639	23.2241	23.5278	23.5558
PROT_0019	24.4755	24.6121	24.8674	24.8406	24.5602	24.7477	24.6328	24.9187	25.0955	24.849	24.4392	24.3891	24.7282	24.8385	24.6601	24.5186	24.6905	24.3394	24.4041	24.2671	24.5796	24.6031	24.6161	24.9921	24.5716	24.7514	24.4057	24.6634	24.6488	24.8267	24.5697	24.7886	25.0463	24.7649	24.7873	24.7141	24.9531	24.8084	24.4233	24.1346	24.5956	24.4492	24.9034	24.6526	24.7516	24.7853	24.463	24.8024	24.5673	24.4803
PROT_0020		22.5246	21.9632	21.8893	21.9794	21.4023	22.0926	21.3339	22.1016	21.256	21.2326	22.207	21.7136	22.0392	21.5641	21.355	21.8178	21.831	22.1332	21.6844	21.9667	21.8816	21.768	21.6597	21.9691	21.5966	21.4071	21.6463	21.7927	22.0564	21.7332		22.0019	22.1097	21.8536	21.9086	22.0146	21.8008	21.6423	22.2179	21.4199	21.6894	21.6617	21.9794	22.0025	21.5047	21.8283	21.7975	21.5208	22.1924
PROT_0021	20.7709	19.8905		20.0454	21.1581	20.848	20.7247	20.5759	20.8324	20.5629	20.5919	21.0552	20.6481	21.423	20.6678	21.0143		20.566	20.472	20.5831		20.393	20.524		21.1659	21.4362	20.173	20.5495	20.5377	20.9811	20.4962	20.4737	20.8246	20.5847	21.3933	21.107	20.4263	21.3314	20.073	19.7811	20.3764	20.7766	20.7329	20.8908	20.5854	21.0664	19.6058	20.0727	20.4438	20.3831
PROT_0022				19.2046	18.7976	19.3809		17.3044		17.725			18.2286	18.9194						18.8782		18.1776			18.2313	18.3543				18.51			17.8036		18.041	18.1912		18.191		18.6708			18.9439			18.2194			17.9482	18.3029
PROT_0023	22.7348	22.9469	22.713	22.6126	22.5779	22.9575	22.4328	22.8804	22.7376	22.8266	22.9844	22.7192	22.5354	22.6445	22.8552	22.905	22.847	22.8247	22.8325	22.3627	22.8109	22.7908	22.6537	22.9671	22.7106	22.2468	22.9436	22.958	22.9361	22.6545	22.6472	23.1867		22.1958	22.6281	22.5732	22.9744	23.0167	22.8346	22.6191	22.2067	23.1664	22.88	22.9859	22.5256	22.6538	22.8394	22.711	22.8279	22.6384
PROT_0024	22.1851	22.3695	22.007	22.6569	22.0506	22.6233	22.3048	22.1958	22.409	22.593	22.903	22.8466	22.3922	22.4165	22.3964	23.0512	22.0645	22.5476	22.4505	22.0786	22.2029	22.3209	22.3573	22.8175	22.6621	22.1374	22.1336	22.3026	22.412	22.5967	22.5163		22.58	22.3146	22.0299	22.2831	22.2155	22.758	22.3382	22.3351	22.4092	22.5426	21.8971	22.4298	21.9707	22.7646	22.4178	22.1771	22.5653	22.2263
PROT_0025	22.0235	22.5988		22.3272	22.0406	21.7722	22.3548	22.1252	22.3808	22.2318	21.9442	22.5324	22.328	22.0137	22.7491	21.9334	21.9922	22.2256	21.8452	21.9148	22.0487	21.8932	21.6813	21.7909	22.1949	21.8052	21.9702	21.868	21.6011	22.3508	21.684	21.7901	22.3172	21.8029	22.077	21.8427	22.2214	22.1737	21.7097	21.8875	21.9086	21.6606	21.8175	21.7442	22.0586	21.6764	22.1805	21.9923	22.2756	22.525
PROT_0026	23.8946	23.7359	23.7279	23.5448	23.8802	23.6486	24.0239	24.1571	23.9428	24.0331	23.7964	24.161	24.0835	24.1389	24.1366	23.8361	24.1758	24.0484		23.9409	23.8722	23.8119	23.9837	24.0666	24.0102	23.4281	23.6144	23.5415	24.0452	23.8478	23.6705	23.349	23.9062	23.9983	24.1744	23.674	23.8078	23.9834	24.1306	24.0944	23.8163	23.7278	23.6685	23.971	24.1899	23.9399	23.7754	23.8038	24.2116	23.9724
PROT_0027	20.2817	20.3734	20.1733	20.5856	20.2338		20.6395	20.7826	20.4662	20.2654	20.2973		20.7599	20.6012	21.2582	20.878	20.3598	20.8098	20.4711	20.5774	21.4192	20.7146	20.7829	21.1434	20.0033	21.1112	20.9351	20.486	20.4512	20.5775		20.2821	20.8468	20.8565	20.6152	20.6845	20.8361	20.8161	20.6166	20.3788		20.0743		20.4744	20.4581	20.5561	20.5983	20.6277	20.9453	20.7722
PROT_0028	22.3065	22.1156	21.8505	21.6213	22.2691	21.8083	22.5559	22.1198	21.8368	22.1525	21.9665	22.2637	22.1164	22.1481	21.7874	21.9577	22.1324	21.7724	22.5135	22.2724	22.3745	21.8291	21.9389	21.421	21.9377	22.0276	22.0866	22.4186	21.337	22.0674	22.0873	21.953	21.5293	22.0601	21.9416	21.7964	22.0587	22.5571	21.5419	21.626	22.1329	22.1003	21.6673	21.4251		22.1434	21.8625	21.9496	21.7712	22.0278
PROT_0029	25.601	25.0431	25.1736	25.5603	25.4128	25.2374	25.2002	25.4638	25.6785	25.5737	25.4851	25.4497	25.3514	25.4721	25.395	25.4916	25.6971	25.5486	25.3313	25.4449	25.5756	25.2286	25.6807	25.4287	25.457	25.4068	24.9221	25.3392	25.3944	25.6648	25.3003	24.9253	25.648	25.6912	25.64	25.2009	25.3238	25.1668	25.6769	25.4396	25.263	25.3609	25.3871	25.4384	25.6867	25.4545	25.3302	25.3934	25.7106	25.1709
PROT_0030	20.6319	20.541	20.8516	20.1816	20.6573	20.6781	20.229	20.4731	20.4816	20.587	20.089	20.7737	20.6431	20.4536				20.4152	20.2258	20.7942	20.516	20.3691	20.3981	20.6246		20.6667	19.9055	20.0597	20.4913	20.7945	20.6622	20.1981	20.5485	19.9312	20.6337	21.1348	20.743	20.7458		20.6327	19.9461	20.0247	20.522	19.8039	20.1941	20.576	20.731		20.5158	20.9018
PROT_0031	21.2653	21.7973	21.949	21.7062	21.6602	21.6425	21.7284	22.0986	21.4323		21.6877	21.825	21.9021	21.5082	21.501	21.1954	21.4	21.4402	21.6246	21.9959		21.2471	21.9353	21.6196	21.9874	21.8633	20.884	21.4043	21.3384	21.8961	21.5203	21.3927	22.239	21.459	21.4825	21.6476	21.6303	22.2153	20.951	21.5735	21.5211	21.4557	21.6826	21.6847	21.0105	21.0638	21.5727	21.7825	21.4363	21.7195
PROT_0032	25.9744	25.874		25.6458	26.0341	26.1926	26.0278	26.1602	25.7851	25.9419	25.704	26.0235	26.0067	26.098	26.3507	26.0758	26.3945	26.3154	26.2048	25.9122	26.1068	26.1498	26.0892	25.5546	26.292	25.9683	26.1216	26.1292	25.8288	26.3644	25.7348	25.9456	26.282	25.6716	25.9717	25.9878		26.0441	25.7343	26.1168	26.1952	25.9964	25.7413	25.7738	25.9549	26.1347	26.2026	26.1831	25.8473	25.943
PROT_0033	28.1886	28.1379	27.641	27.7865	27.9501	27.8517	27.9146	28.1361	28.0926	28.0219	27.9806	28.1201	27.7657	27.9066	28.2182	28.149	27.74	27.5171	27.8851	27.6247	28.0877	28.0244	27.7858	27.8093	27.8528	27.9428	27.9586	27.7059	27.9398	28.0381	28.0721	27.9232	27.9446	28.0539	28.0871	27.8959	27.5143	28.0575	28.2784	28.237	27.9262	28.0475	27.7276	27.9044	27.8098	28.1886	28.2253	27.7488	28.2183	27.8536
PROT_0034				17.9186													18.4373											17.103		18.676		17.5152			18.0943					17.8103		17.3728			18.4862			16.4499		
PROT_0035	19.4442	20.0854		19.4745			19.0415	19.4229	20.0087	19.9908	20.0448	20.4138	19.5055	19.7043	19.8451			19.2505	19.32	19.3285	20.1939	19.7093	20.094	19.4818	19.2943	19.2182	19.4717	19.135	19.328			19.9691	19.3858		19.545	20.0154	20.3544		20.145	20.3592	19.2563	20.1198		20.0747		19.7269	19.5291	19.378	19.0383	20.1298
PROT_0036	23.196	22.676	23.3532	22.9334	22.9808	23.1925	23.1367	23.1676	23.3864	23.2291	22.9724	23.342	23.1686	22.7336	22.6916	22.8328	23.1146	22.957	22.9992	23.0844	23.1081		23.2216	22.7137	23.0485	23.0327	23.0069	23.0791	22.8881	22.782	22.7636	22.76		22.6156	22.8237	22.7592	23.1118	23.0675	23.0495	23.0994	22.9544	22.7924	23.3418	22.9187	22.3138	23.1729	23.0481	22.5708	23.4494	22.4777
PROT_0037	23.4495	22.8907	23.1243	23.2253	23.6853	23.1037	23.2706	23.1807	23.1828	23.0246	23.0043	23.1655	23.1153	22.7247	23.1588	23.508	23.1856	22.9862	22.9159	23.3437	23.2688	23.0269		23.27	23.4399	23.2693	22.933	22.725	23.1235	23.5752	23.414	22.9501	23.1377	23.2133	23.5063	23.6501	23.2232	22.9514	23.1944	23.1887	22.9537	23.3044	22.8594	23.2871	23.4226	23.2504	22.9385	23.0994	22.7098	22.8418
PROT_0038	23.0555	22.3553	22.4029	22.6865	22.6548	22.8457	22.2271	22.9196	23.2077	22.3482	22.7947	22.4781	22.8641	22.3902	22.7721	23.0899	22.7717	22.5535	22.7264	22.7851	22.9572	22.4531	22.7288	22.2367	22.813	22.9531	22.8905	22.782	22.5312	22.9497	22.7455	22.6049	22.8038	22.5583	22.4973	22.7901	22.9514	22.8698	22.6413	22.8328	22.5974	22.7773	23.292	22.8752	22.9736	23.1915	22.4514	22.8997	22.7552	22.6314
PROT_0039	22.7671	22.7999	22.1398	22.2736	21.4684	21.6379	21.9122	21.5803	22.869	22.8781	23.2403	22.8964	22.3623	22.0728	22.058	21.8639	22.159	22.2171	23.0187	22.7035	23.0508		22.1041	22.3613	21.5831	21.8255	21.7524		22.5513	22.8484	22.8424	23.1005	22.2507	22.3143	21.779	21.476	22.2916	21.7252	22.6125	22.7278	22.3057	22.5106	22.2294	22.2012	21.5813	21.9285	22.1714	21.9124		22.6434
PROT_0040									17.8523								15.9794			16.8535										17.346								16.9777				16.8289			16.5372					
PROT_0041	21.9492	21.0631	21.9959	21.3209	22.3618	22.0574	21.5461		21.5736	21.1476	21.8397	21.5082		21.2071	21.4378	21.5785	21.7512	21.1888	21.5981	21.0096	21.525	21.5758	21.3213	21.4091	21.5432	21.5321	21.5186	21.3366	21.4535	21.1848		21.6649		21.5628	21.1864	21.2706	21.1908	21.3967	21.8494	21.6479	20.9861	21.6033	21.6465		21.5562	21.4274	21.722	21.9433	21.8101	21.7294
PROT_0042	27.1938	26.9788	25.3984	25.6592	22.6259	22.8953	25.5461	25.5998	27.0766	27.2048	27.0449	27.1044	25.8186	25.4434	22.7712	22.4182	25.5706	25.7358	26.8271	27.0457	26.7566	27.0187	25.5882	25.7214	22.6371	22.3429	25.6224	25.3302	26.8674	26.9526	26.9356	27.1409	25.4277		22.8281	22.8181	25.4738	25.5024	26.8254	27.0446	27.1517	27.1076	25.5918	25.3518	22.6095	22.7524	25.702	25.7047	26.9231	26.9252
PROT_0043	20.7391	20.5573		20.594	20.1603	20.7588	20.9451		20.5009		20.5775	20.7292	21.0647	20.4676	20.4909	20.615	20.7436	20.131		20.3869	20.9087	20.8244	20.0748	20.1612	20.3709	20.6531	20.8304	20.4427	20.135	21.337	20.8732	20.058	19.3093	20.1313	21.2605	20.7843	20.1394	20.6545	20.8617		20.5621	20.1482	20.1174	20.299	20.3113	20.3801	20.5112	20.1241	20.3776	20.9354
PROT_0044	24.7449	25.0572	24.8422	24.3247	24.8446	25.1043	25.3779	25.0647	24.5353	25.142	24.5573	24.9395	25.054	24.7977	25.1118	24.8456	25.0257	24.3802	24.4651	24.9198	24.8194	24.8463	24.9274	24.4434	24.9035	24.8267	24.9404	24.7321	24.438	24.974	24.7749	24.8492	24.7916	24.7925	24.9554	24.8282	25.4073	25.4101	24.7014	25.4135	24.8997	24.9267	24.4093	24.6246	24.9031	24.8247	24.6198	24.9454	24.5409	25.2674
PROT_0045	22.1984	22.4188	22.2844	22.6135	21.7304	21.7707	22.1242	21.9737	22.1069	22.1278	21.9588	21.9682	21.7492	21.5369	22.2803	21.7717	21.8121	21.5543	22.0898	21.5557	21.8982	21.5061	21.8725	21.7312	21.6948	21.285	21.6263	21.3616	21.4805	22.4164	22.0119	21.4822	21.9238	21.479	21.8804	21.7855		22.1822	22.1632	21.6084	21.8154	21.7364	21.896	21.495	21.6361	22.1333	22.2792	21.9694	21.8035	22.1853
PROT_0046	23.8313	23.5162	23.5603	23.0642	23.3031	23.4782	23.2961	23.2306	23.2694	23.1546	23.6505	23.1086	23.5004	23.7224	23.5044	23.8383	23.5148	23.5649	23.5319	23.1214	23.7341	23.452	23.2068	23.3065	23.5229	23.6772	23.4957	23.2453	23.1678	23.5114	23.6827	23.9054	23.4419	23.3736	23.4998	23.6916	23.4199	23.7075	23.765	23.4844	23.6281	23.2852	24.4437	24.0519	23.992	24.3771	23.2452	23.2927	23.4373	23.6423
PROT_0047	21.0557	21.4308	21.7559	21.0702	21.4867	21.3903	21.2358	20.9058	21.2558	21.2266	20.8769	21.4803	21.9457	21.5229	21.6712	20.8496	21.5754	21.3667	20.7746	21.5247	20.9927	21.4453		22.0563	21.0778	21.0867	21.1317	21.4909	21.3168	20.9389	20.6933	21.5576		20.6428	22.0483	21.2987	21.2628	21.4616	21.0305	21.3423		21.0086	21.7017	21.4252	21.6235	21.2283	21.7581	21.9249	21.039	21.6841
PROT_0048	25.6822	25.2768	25.559	25.586	25.257	25.1948	25.9053	25.5924	25.8169	25.3733	25.8037	25.4828	25.7292	25.7229	25.3772	25.9964	25.6802	25.6436	25.4849	25.6958	25.5849	25.4462	25.3452	25.4086	25.9012	25.7078	25.2658	25.6889	25.6051	25.6009	25.3951	25.6599	25.597		25.6053	25.8006	25.2907	25.787	25.5218	25.4788	26.375	26.1292	25.78	25.9644	25.452	25.8525	25.4832	25.4716	25.5056	25.3517
PROT_0049	17.6371					17.7159			18.025		16.7074			17.3434				16.7774	17.4876	17.7807	17.5571					16.8481	16.9202											17.6197				17.2298				16.99				
PROT_0050	24.6424	24.7425	24.6841	24.708	24.0329	24.5469	24.6301	24.6582	24.3648	24.3062	24.5289	24.4715	24.5908	24.3181	24.4994	24.387	24.3523	24.3024	24.127	24.2024	24.5894	24.1774	24.4339	24.5278	24.2607	24.3461	24.1906	24.3095	24.1217	24.5578	24.5546	24.5902	24.5469	23.9591	24.4572	24.2747	24.3519	23.8295	24.3812	24.4052	24.314	24.4703	24.5191	24.2043	24.7776	24.563	24.7076	24.4672	24.314	24.0643
PROT_0051	21.4064	21.0969	21.4045	21.2491	21.6527	21.8431	21.6664	21.7084	21.0816	21.0782	21.7429		21.2452	21.5285	21.8337	21.6036	21.5851	20.825	20.8308	22.0272	21.6744	21.1747	22.0268	21.1634	21.2372	22.0239	21.3708	21.3554	20.7225	21.3464		21.494	21.6172	21.3165	21.0377	21.898	20.9275	21.1476	21.3608	21.6941	21.7952	21.5309	21.4711	21.2315	21.5469	21.6315		21.389	21.8204	21.3211
PROT_0052	21.7638	21.6688	21.5384	21.6466	21.8074	21.1924	22.0748		21.8922	21.2093	21.7247	21.8225	22.0587	21.9967	21.4988	21.5351	22.137	21.7985	22.2108	21.9166	22.0142	21.9868	20.5549		21.3846	20.6866		21.9625	21.8807	22.0276	22.0374	21.3136	21.7681	22.1716	21.5016	21.5074	22.3994	21.9306	21.4226	22.3975	21.8959	21.8376	22.2243	22.0601	21.2594	21.4369	22.1018	22.0134		21.712
PROT_0053	26.132	25.7415	26.5427	26.4197	27.7335	27.4761	26.6297	26.5854		26.4266	25.7845	25.6915	26.561	26.6407	27.8287	27.6515	26.7329	26.4332	26.2192	26.1989	26.0904	26.0345	26.8822	26.4955	27.557	27.4961	26.7933	26.5171	26.1279	26.3712	26.103	26.2972	26.5113	26.4485	27.6017	27.411	26.6403	26.6129	26.1524	26.4414	25.7161	25.7432	26.5117	26.6733	27.6101	27.1902	26.6981	26.655	26.1433	25.9862
PROT_0054	21.0398	20.2954	20.987		20.8004	20.7504	20.8348	20.9142	21.0657	20.6365	20.8196	21.0308	20.7816			20.6735	20.4264	20.8152	20.6139	20.6296	20.6994	21.1561		21.0522	20.752	20.354	20.8902	21.0907	21.1644	21.0399	20.897	21.216	21.5849	21.31	21.0486	20.977	20.495	20.8166	20.8484	20.2329	20.8472			20.757	20.8271	20.9034		20.7552	20.9311	20.8396
PROT_0055	24.8353	24.961	24.9896	25.037	25.0369	25.1072	25.1297	25.1197	24.7746	24.9643	25.2432	25.3142	24.9072	24.7808		25.1864	25.4063	25.0726	25.1229	25.0724	25.5517	25.1049	25.437	25.0896	25.0351	25.0042		24.9048	24.7906	25.2187	25.5889		25.2889	24.8371	25.2508	25.045	25.2192	25.042	24.867	25.1703	24.8466	24.7155	24.8575	24.8064	25.171	25.1011		25.0962	24.8399	24.8248
PROT_0056	20.7023	21.4185	20.7186	21.2346	20.4657		20.8078	20.2619	21.3182	21.0411	20.8263	21.3094		20.8143	20.9362	21.5528	20.8069	20.7799	21.0878	20.871	20.8374	20.8408	20.7183	20.5184	21.0212	21.4757	20.9156	21.037	21.053	20.6518	21.0	20.5914	20.7685	20.4224	21.1524	20.4918	20.5157	21.0097	21.2237	20.9827	21.0441	20.1323	20.684	21.4366	20.3879			20.4118		20.5581
PROT_0057	25.3903	24.9792	25.0782	25.3048	25.2179	25.1712	24.8474	25.1551	25.3543	24.9475	25.1204	25.2991	25.2628	24.8236	25.4324	25.2405	25.3994	25.1414	25.2694	25.1281	25.1056	24.814	25.1576	25.0319	25.1272	25.3805	25.0504	25.0938	25.6192	25.4446	25.2763	25.2322	25.3118	24.8513	25.2379	24.7621	25.1511	25.0834	24.8227	25.0856	25.1112	24.965	25.3742	25.3724	25.0115	25.2982	25.1707	25.1108	25.2519	25.2136
